Year,Value,M49_country_code
2012,4.48,KGZ
2013,4.58,KGZ
2014,4.58,KGZ
2015,4.69,KGZ
2016,4.84,KGZ
2017,4.84,KGZ
2018,6.51,KGZ
2019,6.53,KGZ
2020,6.53,KGZ
2021,6.53,KGZ
