Year,Reference area,Sex,GeoCode,Value,M49_country_code
2007,,,,21.062709,KGZ
2008,,,,19.633713,KGZ
2009,,,,18.141025,KGZ
2010,,,,16.397145,KGZ
2011,,,,15.346363,KGZ
2012,,,,14.627093,KGZ
2013,,,,14.891975,KGZ
2014,,,,15.641512,KGZ
2015,,,,13.997993,KGZ
2016,,,,12.670713,KGZ
2017,,,,11.795339,KGZ
2018,,,,11.989553,KGZ
2019,,,,11.793595,KGZ
2020,,,,11.7,KGZ
2021,,,,11.9,KGZ
2010,,Male,,18.289259,KGZ
2011,,Male,,16.768074,KGZ
2012,,Male,,16.123559,KGZ
2013,,Male,,16.540714,KGZ
2014,,Male,,16.894648,KGZ
2015,,Male,,15.428234,KGZ
2016,,Male,,13.418192,KGZ
2017,,Male,,13.094077,KGZ
2018,,Male,,13.215508,KGZ
2019,,Male,,12.876697,KGZ
2020,,Male,,12.5,KGZ
2021,,Male,,13.1,KGZ
2010,,Female,,14.412899,KGZ
2011,,Female,,13.848667,KGZ
2012,,Female,,13.046652,KGZ
2013,,Female,,13.148844,KGZ
2014,,Female,,14.310655,KGZ
2015,,Female,,12.461613,KGZ
2016,,Female,,11.881394,KGZ
2017,,Female,,10.42155,KGZ
2018,,Female,,10.694288,KGZ
2019,,Female,,10.658766,KGZ
2020,,Female,,11.0,KGZ
2021,,Female,,10.6,KGZ
2007,Batken,,KG05,20.020582,KGZ
2008,Batken,,KG05,20.371252,KGZ
2009,Batken,,KG05,17.752959,KGZ
2010,Batken,,KG05,17.905103,KGZ
2011,Batken,,KG05,15.911964,KGZ
2012,Batken,,KG05,13.333333,KGZ
2013,Batken,,KG05,13.29229,KGZ
2014,Batken,,KG05,12.498302,KGZ
2015,Batken,,KG05,11.21983,KGZ
2016,Batken,,KG05,10.61082,KGZ
2017,Batken,,KG05,10.611457,KGZ
2018,Batken,,KG05,9.340142,KGZ
2019,Batken,,KG05,10.465116,KGZ
2020,Batken,,KG05,11.1,KGZ
2021,Batken,,KG05,11.0,KGZ
2010,Batken,Male,KG05,19.501466,KGZ
2011,Batken,Male,KG05,16.975975,KGZ
2012,Batken,Male,KG05,15.115129,KGZ
2013,Batken,Male,KG05,15.365952,KGZ
2014,Batken,Male,KG05,14.723281,KGZ
2015,Batken,Male,KG05,12.076991,KGZ
2016,Batken,Male,KG05,10.410959,KGZ
2017,Batken,Male,KG05,11.74594,KGZ
2018,Batken,Male,KG05,10.39501,KGZ
2019,Batken,Male,KG05,10.332951,KGZ
2020,Batken,Male,KG05,11.9,KGZ
