Year,Reference area,Sex,GeoCode,Value,M49_country_code
2007,,,,18.4,KGZ
2008,,,,19.2,KGZ
2009,,,,17.6,KGZ
2010,,,,16.1,KGZ
2011,,,,16.9,KGZ
2012,,,,16.5,KGZ
2013,,,,17.9,KGZ
2014,,,,15.3,KGZ
2015,,,,15.6,KGZ
2016,,,,13.4,KGZ
2017,,,,13.7,KGZ
2018,,,,11.0,KGZ
2019,,,,12.0,KGZ
2020,,,,9.7,KGZ
2021,,,,12.6,KGZ
2007,,Male,,28.089888,KGZ
2008,,Male,,30.111297,KGZ
2009,,Male,,27.816464,KGZ
2010,,Male,,24.728544,KGZ
2011,,Male,,25.526132,KGZ
2012,,Male,,25.41241,KGZ
2013,,Male,,26.876967,KGZ
2014,,Male,,23.34846,KGZ
2015,,Male,,23.093357,KGZ
2016,,Male,,19.889099,KGZ
2017,,Male,,20.701777,KGZ
2018,,Male,,16.264311,KGZ
2019,,Male,,19.290798,KGZ
2020,,Male,,14.7,KGZ
2021,,Male,,17.9,KGZ
2007,,Female,,8.915193,KGZ
2008,,Female,,8.645319,KGZ
2009,,Female,,7.555197,KGZ
2010,,Female,,7.612281,KGZ
2011,,Female,,8.524355,KGZ
2012,,Female,,7.824616,KGZ
2013,,Female,,9.127999,KGZ
2014,,Female,,7.324268,KGZ
2015,,Female,,8.2771,KGZ
2016,,Female,,6.942407,KGZ
2017,,Female,,6.909126,KGZ
2018,,Female,,5.804104,KGZ
2019,,Female,,4.826463,KGZ
2020,,Female,,4.8,KGZ
2021,,Female,,7.3,KGZ
2007,Batken,,KG05,8.3,KGZ
2008,Batken,,KG05,13.7,KGZ
2009,Batken,,KG05,15.8,KGZ
2010,Batken,,KG05,13.03155,KGZ
2011,Batken,,KG05,12.587098,KGZ
2012,Batken,,KG05,12.780961,KGZ
2013,Batken,,KG05,14.645703,KGZ
2014,Batken,,KG05,11.994949,KGZ
2015,Batken,,KG05,15.824085,KGZ
2016,Batken,,KG05,11.041959,KGZ
2017,Batken,,KG05,13.569322,KGZ
2018,Batken,,KG05,9.048903,KGZ
2019,Batken,,KG05,10.165663,KGZ
2020,Batken,,KG05,10.7,KGZ
2021,Batken,,KG05,12.6,KGZ
