Year,Value,M49_country_code
2009,8.1,KGZ
2010,10.0,KGZ
2011,24.6,KGZ
2012,11.2,KGZ
2013,12.2,KGZ
2014,51.1,KGZ
2015,55.0,KGZ
2016,74.4,KGZ
2017,75.9,KGZ
2018,84.9,KGZ
2019,77.6,KGZ
2020,83.3,KGZ
2021,80.9,KGZ
