Year,Value,M49_country_code
2007,31.5,KGZ
2008,31.9,KGZ
2009,30.6,KGZ
2010,32.3,KGZ
2011,28.9,KGZ
2012,32.3,KGZ
2013,27.5,KGZ
2014,33.4,KGZ
2015,36.1,KGZ
2016,34.9,KGZ
2017,36.2,KGZ
2018,37.9,KGZ
2019,40.9,KGZ
2020,47.4,KGZ
2021,42.9,KGZ
