Year,Value,M49_country_code
2010,1.6,KGZ
2011,1.4,KGZ
2012,1.4,KGZ
2013,1.4,KGZ
2014,1.5,KGZ
2015,1.5,KGZ
2016,1.5,KGZ
2017,1.7,KGZ
2018,1.7,KGZ
2019,1.6,KGZ
2020,1.6,KGZ
