Year,Value,M49_country_code
2007,73.7,KGZ
2008,77.0,KGZ
2009,64.8,KGZ
2010,67.9,KGZ
2011,68.1,KGZ
2012,73.5,KGZ
2013,71.5,KGZ
2014,69.2,KGZ
2015,65.9,KGZ
2016,71.8,KGZ
2017,69.1,KGZ
2018,76.9,KGZ
2019,72.6,KGZ
2020,70.3,KGZ
2021,72.0,KGZ
