Year,Value,M49_country_code
2010,360,KGZ
2011,401,KGZ
2012,415,KGZ
2013,530,KGZ
2014,511,KGZ
2015,572,KGZ
2016,563,KGZ
2017,524,KGZ
2018,555,KGZ
2019,527,KGZ
2020,534,KGZ
2021,515,KGZ
