Year,Value,M49_country_code
2010,-1.8,KGZ
2011,4.7,KGZ
2012,-1.8,KGZ
2013,8.6,KGZ
2014,1.8,KGZ
2015,1.7,KGZ
2016,2.1,KGZ
2017,2.6,KGZ
2018,1.7,KGZ
2019,2.3,KGZ
2020,-10.2,KGZ
