Year,Reference area,Sex,Age,GeoCode,Value,M49_country_code
2007,,,,,8.2,KGZ
2008,,,,,8.2,KGZ
2009,,,,,8.4,KGZ
2010,,,,,8.6,KGZ
2011,,,,,8.5,KGZ
2012,,,,,8.4,KGZ
2013,,,,,8.3,KGZ
2014,,,,,8.0,KGZ
2015,,,,,7.6,KGZ
2016,,,,,7.2,KGZ
2017,,,,,6.9,KGZ
2018,,,,,6.2,KGZ
2019,,,,,5.5,KGZ
2020,,,,,5.8,KGZ
2021,,,,,5.3,KGZ
2007,,Female,,,9.0,KGZ
2008,,Female,,,9.4,KGZ
2009,,Female,,,9.8,KGZ
2010,,Female,,,9.9,KGZ
2011,,Female,,,9.9,KGZ
2012,,Female,,,9.5,KGZ
2013,,Female,,,9.7,KGZ
2014,,Female,,,9.5,KGZ
2015,,Female,,,9.0,KGZ
2016,,Female,,,8.7,KGZ
2017,,Female,,,8.9,KGZ
2018,,Female,,,6.9,KGZ
2019,,Female,,,6.2,KGZ
2020,,Female,,,6.7,KGZ
2021,,Female,,,6.3,KGZ
2007,,Male,,,7.6,KGZ
2008,,Male,,,7.3,KGZ
2009,,Male,,,7.4,KGZ
2010,,Male,,,7.7,KGZ
2011,,Male,,,7.6,KGZ
2012,,Male,,,7.7,KGZ
2013,,Male,,,7.4,KGZ
2014,,Male,,,7.0,KGZ
2015,,Male,,,6.5,KGZ
2016,,Male,,,6.2,KGZ
2017,,Male,,,5.6,KGZ
2018,,Male,,,5.7,KGZ
2019,,Male,,,5.0,KGZ
2020,,Male,,,5.2,KGZ
2021,,Male,,,4.7,KGZ
2007,Batken,,,KG05,10.3,KGZ
2008,Batken,,,KG05,11.1,KGZ
2009,Batken,,,KG05,10.2,KGZ
2010,Batken,,,KG05,10.6,KGZ
2011,Batken,,,KG05,10.6,KGZ
2012,Batken,,,KG05,10.8,KGZ
2013,Batken,,,KG05,12.7,KGZ
2014,Batken,,,KG05,12.6,KGZ
2015,Batken,,,KG05,10.9,KGZ
2016,Batken,,,KG05,10.2,KGZ
2017,Batken,,,KG05,9.9,KGZ
2018,Batken,,,KG05,9.0,KGZ
2019,Batken,,,KG05,8.2,KGZ
2020,Batken,,,KG05,7.4,KGZ
2021,Batken,,,KG05,6.6,KGZ
2009,Batken,Female,,KG05,14.8,KGZ
2010,Batken,Female,,KG05,15.8,KGZ
2011,Batken,Female,,KG05,14.0,KGZ
2012,Batken,Female,,KG05,14.1,KGZ
2013,Batken,Female,,KG05,18.4,KGZ
2014,Batken,Female,,KG05,18.7,KGZ
2015,Batken,Female,,KG05,16.5,KGZ
2016,Batken,Female,,KG05,15.3,KGZ
2017,Batken,Female,,KG05,16.0,KGZ
2018,Batken,Female,,KG05,12.2,KGZ
2019,Batken,Female,,KG05,11.5,KGZ
2020,Batken,Female,,KG05,10.9,KGZ
2021,Batken,Female,,KG05,7.5,KGZ
2009,Batken,Male,,KG05,7.2,KGZ
2010,Batken,Male,,KG05,7.2,KGZ
2011,Batken,Male,,KG05,8.4,KGZ
2012,Batken,Male,,KG05,8.7,KGZ
2013,Batken,Male,,KG05,9.8,KGZ
2014,Batken,Male,,KG05,9.6,KGZ
2015,Batken,Male,,KG05,7.6,KGZ
2016,Batken,Male,,KG05,7.1,KGZ
2017,Batken,Male,,KG05,6.3,KGZ
2018,Batken,Male,,KG05,7.3,KGZ
2019,Batken,Male,,KG05,6.7,KGZ
2020,Batken,Male,,KG05,5.9,KGZ
2021,Batken,Male,,KG05,6.2,KGZ
2007,Jalal-Abad,,,KG03,6.8,KGZ
2008,Jalal-Abad,,,KG03,6.9,KGZ
2009,Jalal-Abad,,,KG03,7.0,KGZ
2010,Jalal-Abad,,,KG03,7.8,KGZ
2011,Jalal-Abad,,,KG03,8.2,KGZ
2012,Jalal-Abad,,,KG03,8.4,KGZ
2013,Jalal-Abad,,,KG03,8.2,KGZ
2014,Jalal-Abad,,,KG03,7.6,KGZ
2015,Jalal-Abad,,,KG03,7.7,KGZ
2016,Jalal-Abad,,,KG03,7.5,KGZ
2017,Jalal-Abad,,,KG03,7.2,KGZ
2018,Jalal-Abad,,,KG03,6.2,KGZ
2019,Jalal-Abad,,,KG03,5.5,KGZ
2020,Jalal-Abad,,,KG03,11.0,KGZ
2021,Jalal-Abad,,,KG03,11.8,KGZ
2009,Jalal-Abad,Female,,KG03,8.5,KGZ
2010,Jalal-Abad,Female,,KG03,8.9,KGZ
2011,Jalal-Abad,Female,,KG03,9.4,KGZ
2012,Jalal-Abad,Female,,KG03,9.0,KGZ
2013,Jalal-Abad,Female,,KG03,10.3,KGZ
2014,Jalal-Abad,Female,,KG03,10.0,KGZ
2015,Jalal-Abad,Female,,KG03,9.9,KGZ
2016,Jalal-Abad,Female,,KG03,10.3,KGZ
2017,Jalal-Abad,Female,,KG03,10.5,KGZ
2018,Jalal-Abad,Female,,KG03,9.1,KGZ
2019,Jalal-Abad,Female,,KG03,7.9,KGZ
2020,Jalal-Abad,Female,,KG03,13.2,KGZ
2021,Jalal-Abad,Female,,KG03,15.5,KGZ
2009,Jalal-Abad,Male,,KG03,5.9,KGZ
2010,Jalal-Abad,Male,,KG03,7.1,KGZ
2011,Jalal-Abad,Male,,KG03,7.3,KGZ
2012,Jalal-Abad,Male,,KG03,7.9,KGZ
2013,Jalal-Abad,Male,,KG03,6.7,KGZ
2014,Jalal-Abad,Male,,KG03,6.0,KGZ
2015,Jalal-Abad,Male,,KG03,6.1,KGZ
2016,Jalal-Abad,Male,,KG03,5.8,KGZ
2017,Jalal-Abad,Male,,KG03,5.3,KGZ
2018,Jalal-Abad,Male,,KG03,4.7,KGZ
2019,Jalal-Abad,Male,,KG03,4.2,KGZ
2020,Jalal-Abad,Male,,KG03,9.7,KGZ
2021,Jalal-Abad,Male,,KG03,9.7,KGZ
2007,Issyk-Kul,,,KG02,7.0,KGZ
2008,Issyk-Kul,,,KG02,7.2,KGZ
2009,Issyk-Kul,,,KG02,9.4,KGZ
2010,Issyk-Kul,,,KG02,10.2,KGZ
2011,Issyk-Kul,,,KG02,9.7,KGZ
2012,Issyk-Kul,,,KG02,9.6,KGZ
2013,Issyk-Kul,,,KG02,9.5,KGZ
2014,Issyk-Kul,,,KG02,9.3,KGZ
2015,Issyk-Kul,,,KG02,9.1,KGZ
2016,Issyk-Kul,,,KG02,8.9,KGZ
2017,Issyk-Kul,,,KG02,8.7,KGZ
2018,Issyk-Kul,,,KG02,8.4,KGZ
2019,Issyk-Kul,,,KG02,7.8,KGZ
2020,Issyk-Kul,,,KG02,7.4,KGZ
2021,Issyk-Kul,,,KG02,6.3,KGZ
2009,Issyk-Kul,Female,,KG02,11.1,KGZ
2010,Issyk-Kul,Female,,KG02,10.1,KGZ
2011,Issyk-Kul,Female,,KG02,10.8,KGZ
2012,Issyk-Kul,Female,,KG02,8.9,KGZ
2013,Issyk-Kul,Female,,KG02,9.4,KGZ
2014,Issyk-Kul,Female,,KG02,10.1,KGZ
2015,Issyk-Kul,Female,,KG02,9.6,KGZ
2016,Issyk-Kul,Female,,KG02,8.5,KGZ
2017,Issyk-Kul,Female,,KG02,8.0,KGZ
2018,Issyk-Kul,Female,,KG02,4.9,KGZ
2019,Issyk-Kul,Female,,KG02,4.9,KGZ
2020,Issyk-Kul,Female,,KG02,6.1,KGZ
2021,Issyk-Kul,Female,,KG02,7.5,KGZ
2009,Issyk-Kul,Male,,KG02,8.2,KGZ
2010,Issyk-Kul,Male,,KG02,10.3,KGZ
2011,Issyk-Kul,Male,,KG02,8.9,KGZ
2012,Issyk-Kul,Male,,KG02,10.0,KGZ
2013,Issyk-Kul,Male,,KG02,9.5,KGZ
2014,Issyk-Kul,Male,,KG02,8.7,KGZ
2015,Issyk-Kul,Male,,KG02,8.7,KGZ
2016,Issyk-Kul,Male,,KG02,9.1,KGZ
2017,Issyk-Kul,Male,,KG02,9.0,KGZ
2018,Issyk-Kul,Male,,KG02,10.2,KGZ
2019,Issyk-Kul,Male,,KG02,9.4,KGZ
2020,Issyk-Kul,Male,,KG02,8.2,KGZ
2021,Issyk-Kul,Male,,KG02,5.6,KGZ
2007,Naryn,,,KG04,11.1,KGZ
2008,Naryn,,,KG04,11.2,KGZ
2009,Naryn,,,KG04,10.0,KGZ
2010,Naryn,,,KG04,10.3,KGZ
2011,Naryn,,,KG04,10.3,KGZ
2012,Naryn,,,KG04,10.2,KGZ
2013,Naryn,,,KG04,9.1,KGZ
2014,Naryn,,,KG04,9.7,KGZ
2015,Naryn,,,KG04,9.3,KGZ
2016,Naryn,,,KG04,9.0,KGZ
2017,Naryn,,,KG04,8.8,KGZ
2018,Naryn,,,KG04,8.8,KGZ
2019,Naryn,,,KG04,8.3,KGZ
2020,Naryn,,,KG04,7.3,KGZ
2021,Naryn,,,KG04,6.3,KGZ
2009,Naryn,Female,,KG04,14.7,KGZ
2010,Naryn,Female,,KG04,14.7,KGZ
2011,Naryn,Female,,KG04,14.7,KGZ
2012,Naryn,Female,,KG04,16.3,KGZ
2013,Naryn,Female,,KG04,14.2,KGZ
2014,Naryn,Female,,KG04,15.4,KGZ
2015,Naryn,Female,,KG04,13.7,KGZ
2016,Naryn,Female,,KG04,14.6,KGZ
2017,Naryn,Female,,KG04,12.3,KGZ
2018,Naryn,Female,,KG04,15.0,KGZ
2019,Naryn,Female,,KG04,11.1,KGZ
2020,Naryn,Female,,KG04,12.4,KGZ
2021,Naryn,Female,,KG04,10.8,KGZ
2009,Naryn,Male,,KG04,7.6,KGZ
2010,Naryn,Male,,KG04,8.2,KGZ
2011,Naryn,Male,,KG04,8.1,KGZ
2012,Naryn,Male,,KG04,7.4,KGZ
2013,Naryn,Male,,KG04,6.8,KGZ
2014,Naryn,Male,,KG04,7.4,KGZ
2015,Naryn,Male,,KG04,7.6,KGZ
2016,Naryn,Male,,KG04,6.6,KGZ
2017,Naryn,Male,,KG04,7.1,KGZ
2018,Naryn,Male,,KG04,6.2,KGZ
2019,Naryn,Male,,KG04,7.1,KGZ
2020,Naryn,Male,,KG04,5.2,KGZ
2021,Naryn,Male,,KG04,4.3,KGZ
2007,Osh,,,KG06,5.4,KGZ
2008,Osh,,,KG06,5.5,KGZ
2009,Osh,,,KG06,6.6,KGZ
2010,Osh,,,KG06,6.61,KGZ
2011,Osh,,,KG06,6.6,KGZ
2012,Osh,,,KG06,6.8,KGZ
2013,Osh,,,KG06,6.3,KGZ
2014,Osh,,,KG06,6.6,KGZ
2015,Osh,,,KG06,6.0,KGZ
2016,Osh,,,KG06,5.5,KGZ
2017,Osh,,,KG06,5.1,KGZ
2018,Osh,,,KG06,4.2,KGZ
2019,Osh,,,KG06,3.5,KGZ
2020,Osh,,,KG06,2.6,KGZ
2021,Osh,,,KG06,1.9,KGZ
2009,Osh,Female,,KG06,8.1,KGZ
2010,Osh,Female,,KG06,7.8,KGZ
2011,Osh,Female,,KG06,7.8,KGZ
2012,Osh,Female,,KG06,8.9,KGZ
2013,Osh,Female,,KG06,7.4,KGZ
2014,Osh,Female,,KG06,7.3,KGZ
2015,Osh,Female,,KG06,7.7,KGZ
2016,Osh,Female,,KG06,7.1,KGZ
2017,Osh,Female,,KG06,7.7,KGZ
2018,Osh,Female,,KG06,6.6,KGZ
2019,Osh,Female,,KG06,4.3,KGZ
2020,Osh,Female,,KG06,4.1,KGZ
2021,Osh,Female,,KG06,3.1,KGZ
2009,Osh,Male,,KG06,5.7,KGZ
2010,Osh,Male,,KG06,5.9,KGZ
2011,Osh,Male,,KG06,5.8,KGZ
2012,Osh,Male,,KG06,5.5,KGZ
