Year,Reference area,GeoCode,Value,M49_country_code
2007,,,98.436866,KGZ
2008,,,98.483992,KGZ
2009,,,98.495642,KGZ
2010,,,98.309687,KGZ
2011,,,98.622407,KGZ
2012,,,98.838817,KGZ
2013,,,98.985022,KGZ
2014,,,99.176724,KGZ
2015,,,99.230049,KGZ
2016,,,99.185581,KGZ
2017,,,99.3,KGZ
2018,,,99.3,KGZ
2019,,,99.348833,KGZ
2020,,,99.3,KGZ
2021,,,99.4,KGZ
2007,Batken,KG05,97.74409,KGZ
2008,Batken,KG05,97.474925,KGZ
2009,Batken,KG05,98.874508,KGZ
2010,Batken,KG05,96.861772,KGZ
2011,Batken,KG05,97.13801,KGZ
2012,Batken,KG05,98.465778,KGZ
2013,Batken,KG05,99.080933,KGZ
2014,Batken,KG05,99.356181,KGZ
2015,Batken,KG05,99.261631,KGZ
2016,Batken,KG05,98.979592,KGZ
2017,Batken,KG05,99.2,KGZ
2018,Batken,KG05,99.4,KGZ
2019,Batken,KG05,99.335614,KGZ
2020,Batken,KG05,99.371421,KGZ
2021,Batken,KG05,98.1,KGZ
2007,Jalal-Abad,KG03,98.959241,KGZ
2008,Jalal-Abad,KG03,98.575021,KGZ
2009,Jalal-Abad,KG03,98.923445,KGZ
2010,Jalal-Abad,KG03,98.940709,KGZ
2011,Jalal-Abad,KG03,99.115744,KGZ
2012,Jalal-Abad,KG03,99.045346,KGZ
2013,Jalal-Abad,KG03,99.080837,KGZ
2014,Jalal-Abad,KG03,99.16137,KGZ
2015,Jalal-Abad,KG03,99.299119,KGZ
2016,Jalal-Abad,KG03,99.265036,KGZ
2017,Jalal-Abad,KG03,99.4,KGZ
2018,Jalal-Abad,KG03,99.4,KGZ
2019,Jalal-Abad,KG03,99.331319,KGZ
2020,Jalal-Abad,KG03,99.319469,KGZ
2021,Jalal-Abad,KG03,99.319469,KGZ
2007,Issyk-Kul,KG02,99.294245,KGZ
2008,Issyk-Kul,KG02,99.008513,KGZ
2009,Issyk-Kul,KG02,99.274602,KGZ
2010,Issyk-Kul,KG02,99.414531,KGZ
2011,Issyk-Kul,KG02,99.463221,KGZ
2012,Issyk-Kul,KG02,99.435996,KGZ
2013,Issyk-Kul,KG02,99.427262,KGZ
2014,Issyk-Kul,KG02,99.451005,KGZ
2015,Issyk-Kul,KG02,99.391542,KGZ
2016,Issyk-Kul,KG02,99.422551,KGZ
2017,Issyk-Kul,KG02,99.5,KGZ
2018,Issyk-Kul,KG02,99.5,KGZ
2019,Issyk-Kul,KG02,99.485976,KGZ
2020,Issyk-Kul,KG02,99.442213,KGZ
2021,Issyk-Kul,KG02,99.442213,KGZ
2007,Naryn,KG04,97.720601,KGZ
2008,Naryn,KG04,98.116039,KGZ
2009,Naryn,KG04,98.275296,KGZ
2010,Naryn,KG04,97.822417,KGZ
2011,Naryn,KG04,98.680426,KGZ
2012,Naryn,KG04,98.696845,KGZ
2013,Naryn,KG04,98.717291,KGZ
2014,Naryn,KG04,98.817416,KGZ
2015,Naryn,KG04,98.774112,KGZ
2016,Naryn,KG04,98.787433,KGZ
2017,Naryn,KG04,99.0,KGZ
2018,Naryn,KG04,99.2,KGZ
2019,Naryn,KG04,99.123344,KGZ
2020,Naryn,KG04,98.766882,KGZ
2021,Naryn,KG04,99.1,KGZ
2007,Osh,KG06,96.877363,KGZ
2008,Osh,KG06,97.394325,KGZ
2009,Osh,KG06,96.451545,KGZ
2010,Osh,KG06,96.52909,KGZ
2011,Osh,KG06,97.299639,KGZ
2012,Osh,KG06,97.817694,KGZ
2013,Osh,KG06,98.222659,KGZ
2014,Osh,KG06,98.874035,KGZ
2015,Osh,KG06,99.087129,KGZ
2016,Osh,KG06,99.070282,KGZ
2017,Osh,KG06,99.1,KGZ
2018,Osh,KG06,99.1,KGZ
2019,Osh,KG06,99.216847,KGZ
2020,Osh,KG06,99.212798,KGZ
2021,Osh,KG06,99.3,KGZ
2007,Talas,KG07,99.285714,KGZ
2008,Talas,KG07,99.252883,KGZ
2009,Talas,KG07,99.270189,KGZ
2010,Talas,KG07,99.485821,KGZ
2011,Talas,KG07,99.688576,KGZ
2012,Talas,KG07,99.660672,KGZ
2013,Talas,KG07,99.694501,KGZ
2014,Talas,KG07,99.680296,KGZ
2015,Talas,KG07,99.729775,KGZ
2016,Talas,KG07,99.713877,KGZ
2017,Talas,KG07,99.5,KGZ
2018,Talas,KG07,99.7,KGZ
2019,Talas,KG07,99.610751,KGZ
2020,Talas,KG07,99.79916,KGZ
2021,Talas,KG07,99.79916,KGZ
2007,Chui,KG08,99.023641,KGZ
2008,Chui,KG08,99.18247,KGZ
2009,Chui,KG08,99.161879,KGZ
2010,Chui,KG08,99.199707,KGZ
2011,Chui,KG08,99.107284,KGZ
2012,Chui,KG08,99.152542,KGZ
2013,Chui,KG08,99.134263,KGZ
2014,Chui,KG08,99.23354,KGZ
2015,Chui,KG08,99.163311,KGZ
2016,Chui,KG08,99.176269,KGZ
2017,Chui,KG08,99.2,KGZ
2018,Chui,KG08,99.2,KGZ
2019,Chui,KG08,99.366992,KGZ
2020,Chui,KG08,99.146992,KGZ
2021,Chui,KG08,99.3,KGZ
2007,Bishkek (city),KG11,99.435435,KGZ
