Year,Reference area,Sex,GeoCode,Value,M49_country_code
2010,,,,53.8,KGZ
2013,,,,31.2,KGZ
2014,,,,27.4,KGZ
2015,,,,23.5,KGZ
2016,,,,28.4,KGZ
2017,,,,23.0,KGZ
2018,,,,18.6,KGZ
2019,,,,18.446484,KGZ
2020,,,,15.121199,KGZ
2021,,,,16.601754,KGZ
2010,,Female,,13.1,KGZ
2013,,Female,,7.4,KGZ
2014,,Female,,5.7,KGZ
2015,,Female,,5.6,KGZ
2016,,Female,,6.4,KGZ
2017,,Female,,6.8,KGZ
2018,,Female,,4.0,KGZ
2019,,Female,,4.918696,KGZ
2020,,Female,,4.041802,KGZ
2021,,Female,,7.357653,KGZ
2010,,Male,,95.6,KGZ
2013,,Male,,55.6,KGZ
2014,,Male,,49.5,KGZ
2015,,Male,,41.8,KGZ
2016,,Male,,50.8,KGZ
2017,,Male,,39.5,KGZ
2018,,Male,,33.5,KGZ
2019,,Male,,32.182344,KGZ
2020,,Male,,26.038712,KGZ
2021,,Male,,25.982831,KGZ
2010,Batken,,KG05,27.4,KGZ
2013,Batken,,KG05,27.4,KGZ
2014,Batken,,KG05,22.1,KGZ
2015,Batken,,KG05,14.0,KGZ
2016,Batken,,KG05,15.9,KGZ
2017,Batken,,KG05,12.2,KGZ
2018,Batken,,KG05,6.9,KGZ
2019,Batken,,KG05,7.71772,KGZ
2020,Batken,,KG05,6.632204,KGZ
2021,Batken,,KG05,4.697805,KGZ
2010,Batken,Female,KG05,1.9,KGZ
2013,Batken,Female,KG05,0.4,KGZ
2014,Batken,Female,KG05,0.4,KGZ
2015,Batken,Female,KG05,0.8,KGZ
2016,Batken,Female,KG05,0.4,KGZ
2017,Batken,Female,KG05,0.8,KGZ
2018,Batken,Female,KG05,0.8,KGZ
2019,Batken,Female,KG05,1.918612,KGZ
2020,Batken,Female,KG05,0.723374,KGZ
2021,Batken,Female,KG05,0.368205,KGZ
2010,Batken,Male,KG05,52.2,KGZ
2013,Batken,Male,KG05,53.4,KGZ
2014,Batken,Male,KG05,43.1,KGZ
2015,Batken,Male,KG05,26.7,KGZ
2016,Batken,Male,KG05,30.8,KGZ
2017,Batken,Male,KG05,23.2,KGZ
2018,Batken,Male,KG05,12.9,KGZ
2019,Batken,Male,KG05,13.301803,KGZ
2020,Batken,Male,KG05,12.766405,KGZ
2021,Batken,Male,KG05,8.869589,KGZ
2010,Jalal-Abad,,KG03,17.2,KGZ
2013,Jalal-Abad,,KG03,14.2,KGZ
2014,Jalal-Abad,,KG03,14.3,KGZ
2015,Jalal-Abad,,KG03,10.7,KGZ
2016,Jalal-Abad,,KG03,10.0,KGZ
2017,Jalal-Abad,,KG03,9.5,KGZ
2018,Jalal-Abad,,KG03,6.8,KGZ
2019,Jalal-Abad,,KG03,4.565495,KGZ
2020,Jalal-Abad,,KG03,3.440873,KGZ
2021,Jalal-Abad,,KG03,4.87638,KGZ
2010,Jalal-Abad,Female,KG03,1.2,KGZ
2013,Jalal-Abad,Female,KG03,0.9,KGZ
2014,Jalal-Abad,Female,KG03,1.4,KGZ
2015,Jalal-Abad,Female,KG03,1.4,KGZ
2016,Jalal-Abad,Female,KG03,1.2,KGZ
2017,Jalal-Abad,Female,KG03,1.7,KGZ
2018,Jalal-Abad,Female,KG03,1.3,KGZ
2019,Jalal-Abad,Female,KG03,0.4923,KGZ
2020,Jalal-Abad,Female,KG03,0.31798,KGZ
2021,Jalal-Abad,Female,KG03,0.63362,KGZ
2010,Jalal-Abad,Male,KG03,33.2,KGZ
2013,Jalal-Abad,Male,KG03,27.3,KGZ
2014,Jalal-Abad,Male,KG03,27.1,KGZ
2015,Jalal-Abad,Male,KG03,19.8,KGZ
2016,Jalal-Abad,Male,KG03,18.7,KGZ
2017,Jalal-Abad,Male,KG03,17.2,KGZ
2018,Jalal-Abad,Male,KG03,12.2,KGZ
2019,Jalal-Abad,Male,KG03,8.587057,KGZ
2020,Jalal-Abad,Male,KG03,6.605318,KGZ
2021,Jalal-Abad,Male,KG03,9.06049,KGZ
2010,Issyk-Kul,,KG02,19.0,KGZ
