Year,Reference area,Sex,GeoCode,Value,M49_country_code
2007,,,,35.3,KGZ
2008,,,,31.5,KGZ
2009,,,,29.3,KGZ
2010,,,,26.5,KGZ
2011,,,,24.54,KGZ
2012,,,,23.4,KGZ
2013,,,,23.29,KGZ
2014,,,,23.14,KGZ
2015,,,,21.5,KGZ
2016,,,,19.8,KGZ
2017,,,,18.5,KGZ
2018,,,,17.6,KGZ
2019,,,,17.5,KGZ
2020,,,,16.7,KGZ
2021,,,,17.92,KGZ
2010,,Male,,29.2,KGZ
2011,,Male,,27.13,KGZ
2012,,Male,,25.94,KGZ
2013,,Male,,25.72,KGZ
2014,,Male,,24.9,KGZ
2015,,Male,,23.2,KGZ
2016,,Male,,21.1,KGZ
2017,,Male,,20.3,KGZ
2018,,Male,,19.4,KGZ
2019,,Male,,19.2,KGZ
2020,,Male,,17.8,KGZ
2021,,Male,,19.65,KGZ
2010,,Female,,23.6,KGZ
2011,,Female,,21.81,KGZ
2012,,Female,,20.78,KGZ
2013,,Female,,20.72,KGZ
2014,,Female,,21.2,KGZ
2015,,Female,,19.6,KGZ
2016,,Female,,18.4,KGZ
2017,,Female,,16.6,KGZ
2018,,Female,,15.6,KGZ
2019,,Female,,15.8,KGZ
2020,,Female,,15.6,KGZ
2021,,Female,,16.08,KGZ
2007,Batken,,KG05,40.3,KGZ
2008,Batken,,KG05,39.7,KGZ
2009,Batken,,KG05,33.7,KGZ
2010,Batken,,KG05,34.3,KGZ
2011,Batken,,KG05,28.73,KGZ
2012,Batken,,KG05,25.9,KGZ
2013,Batken,,KG05,25.75,KGZ
2014,Batken,,KG05,23.6,KGZ
2015,Batken,,KG05,21.8,KGZ
2016,Batken,,KG05,18.8,KGZ
2017,Batken,,KG05,18.6,KGZ
2018,Batken,,KG05,14.9,KGZ
2019,Batken,,KG05,17.7,KGZ
2020,Batken,,KG05,16.7,KGZ
2021,Batken,,KG05,16.86,KGZ
2010,Batken,Male,KG05,38.0,KGZ
