Year,Value,M49_country_code
2010,4.004914,KGZ
2011,2.513823,KGZ
2012,5.205147,KGZ
2013,3.503327,KGZ
2014,4.079201,KGZ
2015,2.863107,KGZ
2016,2.262054,KGZ
2017,2.558413,KGZ
2018,1.934557,KGZ
2019,2.1,KGZ
2020,2.1,KGZ
