Year,Sex,Value,M49_country_code
2007,,16.7,KGZ
2008,,17.0,KGZ
2009,,17.8,KGZ
2010,,18.3,KGZ
2011,,17.4,KGZ
2012,,17.7,KGZ
2013,,22.1,KGZ
2014,,20.7,KGZ
2015,,21.4,KGZ
2016,,20.4,KGZ
2017,,21.0,KGZ
2018,,20.5,KGZ
2019,,21.0,KGZ
2020,,21.1,KGZ
2021,,19.1,KGZ
2007,Male,10.7,KGZ
2008,Male,12.8,KGZ
2009,Male,12.3,KGZ
2010,Male,11.5,KGZ
2011,Male,9.7,KGZ
2012,Male,10.1,KGZ
2013,Male,14.3,KGZ
2014,Male,12.5,KGZ
2015,Male,13.6,KGZ
2016,Male,12.1,KGZ
2017,Male,12.3,KGZ
2018,Male,12.0,KGZ
2019,Male,12.6,KGZ
2020,Male,12.9,KGZ
2021,Male,11.3,KGZ
2007,Female,22.8,KGZ
2008,Female,21.3,KGZ
2009,Female,23.5,KGZ
2010,Female,25.2,KGZ
2011,Female,25.2,KGZ
2012,Female,25.5,KGZ
2013,Female,30.0,KGZ
2014,Female,29.2,KGZ
2015,Female,29.5,KGZ
2016,Female,29.0,KGZ
2017,Female,30.1,KGZ
2018,Female,29.4,KGZ
2019,Female,29.6,KGZ
2020,Female,29.6,KGZ
2021,Female,27.3,KGZ
