Year,Value,M49_country_code
2007,25.6,KGZ
2008,25.6,KGZ
2009,25.6,KGZ
2010,23.5,KGZ
2011,20.8,KGZ
2012,20.8,KGZ
2013,22.5,KGZ
2014,21.7,KGZ
2015,21.7,KGZ
2016,15.8,KGZ
2017,16.7,KGZ
2018,15.8,KGZ
2019,16.7,KGZ
2020,16.7,KGZ
2021,20.5,KGZ
