Year,Value,M49_country_code
2010,214.643352,KGZ
2011,223.172865,KGZ
2012,183.173589,KGZ
2013,214.906582,KGZ
2014,178.260402,KGZ
2015,195.243858,KGZ
2016,170.944426,KGZ
2017,165.143944,KGZ
2018,171.426688,KGZ
2019,185.057972,KGZ
2020,185.91275,KGZ
2021,191.023629,KGZ
