Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2012,Internet speed: 256 kbit/s to less than 2 Mbit/s,22233,KGZ
2013,Internet speed: 256 kbit/s to less than 2 Mbit/s,77877,KGZ
2014,Internet speed: 256 kbit/s to less than 2 Mbit/s,105680,KGZ
2015,Internet speed: 256 kbit/s to less than 2 Mbit/s,46408,KGZ
2016,Internet speed: 256 kbit/s to less than 2 Mbit/s,27317,KGZ
2017,Internet speed: 256 kbit/s to less than 2 Mbit/s,27428,KGZ
2018,Internet speed: 256 kbit/s to less than 2 Mbit/s,22654,KGZ
2019,Internet speed: 256 kbit/s to less than 2 Mbit/s,20556,KGZ
2020,Internet speed: 256 kbit/s to less than 2 Mbit/s,8075,KGZ
2021,Internet speed: 256 kbit/s to less than 2 Mbit/s,7105,KGZ
2012,Internet speed: 2 Mbit/s to less than 10 Mbit/s,6530,KGZ
2013,Internet speed: 2 Mbit/s to less than 10 Mbit/s,43943,KGZ
2014,Internet speed: 2 Mbit/s to less than 10 Mbit/s,65345,KGZ
2015,Internet speed: 2 Mbit/s to less than 10 Mbit/s,59377,KGZ
2016,Internet speed: 2 Mbit/s to less than 10 Mbit/s,91834,KGZ
2017,Internet speed: 2 Mbit/s to less than 10 Mbit/s,101786,KGZ
2018,Internet speed: 2 Mbit/s to less than 10 Mbit/s,158296,KGZ
2019,Internet speed: 2 Mbit/s to less than 10 Mbit/s,174988,KGZ
2020,Internet speed: 2 Mbit/s to less than 10 Mbit/s,79553,KGZ
2021,Internet speed: 2 Mbit/s to less than 10 Mbit/s,81079,KGZ
2012,Internet speed: 10 Mbit/s or above,19351,KGZ
2013,Internet speed: 10 Mbit/s or above,14065,KGZ
2014,Internet speed: 10 Mbit/s or above,14032,KGZ
2015,Internet speed: 10 Mbit/s or above,105739,KGZ
2016,Internet speed: 10 Mbit/s or above,115047,KGZ
2017,Internet speed: 10 Mbit/s or above,128799,KGZ
2018,Internet speed: 10 Mbit/s or above,69662,KGZ
2019,Internet speed: 10 Mbit/s or above,73547,KGZ
2020,Internet speed: 10 Mbit/s or above,181557,KGZ
2021,Internet speed: 10 Mbit/s or above,214139,KGZ
