Year,Value,M49_country_code
2008,143,KGZ
2009,145,KGZ
2010,137,KGZ
2011,129,KGZ
2012,119,KGZ
2013,108,KGZ
2014,108,KGZ
2015,106,KGZ
2016,109,KGZ
2017,101,KGZ
2018,100,KGZ
2019,95,KGZ
2020,94,KGZ
2021,97,KGZ
