Year,SERIES,Value,M49_country_code
2007,Share of renewable energy sources in the total energy consumption,43.5,KGZ
2008,Share of renewable energy sources in the total energy consumption,36.0,KGZ
2009,Share of renewable energy sources in the total energy consumption,35.6,KGZ
2010,Share of renewable energy sources in the total energy consumption,38.7,KGZ
2011,Share of renewable energy sources in the total energy consumption,41.0,KGZ
2012,Share of renewable energy sources in the total energy consumption,37.1,KGZ
2013,Share of renewable energy sources in the total energy consumption,33.3,KGZ
2014,Share of renewable energy sources in the total energy consumption,36.7,KGZ
2015,Share of renewable energy sources in the total energy consumption,30.6,KGZ
2016,Share of renewable energy sources in the total energy consumption,31.6,KGZ
2017,Share of renewable energy sources in the total energy consumption,36.5,KGZ
2018,Share of renewable energy sources in the total energy consumption,33.9,KGZ
2019,Share of renewable energy sources in the total energy consumption,35.7,KGZ
2020,Share of renewable energy sources in the total energy consumption,36.7,KGZ
2007,Electricity production by hydropower plants,14004.1,KGZ
2008,Electricity production by hydropower plants,10759.1,KGZ
2009,Electricity production by hydropower plants,10098.0,KGZ
2010,Electricity production by hydropower plants,11254.7,KGZ
2011,Electricity production by hydropower plants,14309.1,KGZ
2012,Electricity production by hydropower plants,14179.0,KGZ
2013,Electricity production by hydropower plants,13096.7,KGZ
2014,Electricity production by hydropower plants,13297.6,KGZ
2015,Electricity production by hydropower plants,11092.7,KGZ
2016,Electricity production by hydropower plants,11497.8,KGZ
2017,Electricity production by hydropower plants,14191.2,KGZ
2018,Electricity production by hydropower plants,14318.3,KGZ
2019,Electricity production by hydropower plants,13859.3,KGZ
2020,Electricity production by hydropower plants,13979.1,KGZ
