Year,Value,M49_country_code
2010,29.6,KGZ
2011,29.0,KGZ
2012,30.0,KGZ
2013,28.3,KGZ
2014,26.8,KGZ
2015,27.0,KGZ
2016,28.4,KGZ
2017,26.8,KGZ
2018,26.1,KGZ
2019,24.5,KGZ
2020,27.6,KGZ
