Year,Reference area,GeoCode,Value,M49_country_code
2007,,,0.102468,KGZ
2008,,,0.657422,KGZ
2009,,,0.037073,KGZ
2010,,,0.234561,KGZ
2011,,,0.328649,KGZ
2012,,,0.297902,KGZ
2013,,,0.062089,KGZ
2014,,,0.113728,KGZ
2015,,,0.532092,KGZ
2016,,,0.21124,KGZ
2017,,,0.193675,KGZ
2018,,,0.21,KGZ
2019,,,0.052302,KGZ
2020,,,0.044166,KGZ
2007,Batken,KG05,0.358951,KGZ
2008,Batken,KG05,2.126272,KGZ
2009,Batken,KG05,0.403899,KGZ
2010,Batken,KG05,0.333138,KGZ
2011,Batken,KG05,4.307812,KGZ
2012,Batken,KG05,1.956574,KGZ
2013,Batken,KG05,0.02969,KGZ
2014,Batken,KG05,0.25113,KGZ
2015,Batken,KG05,3.438047,KGZ
2016,Batken,KG05,2.2105,KGZ
2017,Batken,KG05,0.753563,KGZ
2018,Batken,KG05,1.04,KGZ
2019,Batken,KG05,0.113897,KGZ
2020,Batken,KG05,0.361854,KGZ
2007,Jalal-Abad,KG03,0.412118,KGZ
2008,Jalal-Abad,KG03,0.136994,KGZ
2009,Jalal-Abad,KG03,0.015857,KGZ
2010,Jalal-Abad,KG03,1.154719,KGZ
2011,Jalal-Abad,KG03,0.453264,KGZ
2012,Jalal-Abad,KG03,1.016425,KGZ
2013,Jalal-Abad,KG03,0.101309,KGZ
2014,Jalal-Abad,KG03,0.072479,KGZ
2015,Jalal-Abad,KG03,0.172868,KGZ
2016,Jalal-Abad,KG03,0.441517,KGZ
2017,Jalal-Abad,KG03,0.196222,KGZ
2018,Jalal-Abad,KG03,0.11,KGZ
2019,Jalal-Abad,KG03,0.23463,KGZ
2020,Jalal-Abad,KG03,0.274087,KGZ
2007,Issyk-Kul,KG02,0.003239,KGZ
2008,Issyk-Kul,KG02,0.003293,KGZ
2009,Issyk-Kul,KG02,0.034457,KGZ
2010,Issyk-Kul,KG02,0.001692,KGZ
2011,Issyk-Kul,KG02,0.012271,KGZ
2012,Issyk-Kul,KG02,0.112102,KGZ
2013,Issyk-Kul,KG02,0.148306,KGZ
2014,Issyk-Kul,KG02,0.685858,KGZ
2015,Issyk-Kul,KG02,0.015296,KGZ
2016,Issyk-Kul,KG02,0.169567,KGZ
2017,Issyk-Kul,KG02,0.130728,KGZ
2018,Issyk-Kul,KG02,0.11,KGZ
2019,Issyk-Kul,KG02,0.013155,KGZ
2020,Issyk-Kul,KG02,0.000467,KGZ
2007,Naryn,KG04,0.009569,KGZ
2008,Naryn,KG04,0.035207,KGZ
2009,Naryn,KG04,0.008456,KGZ
2010,Naryn,KG04,1.65095,KGZ
2011,Naryn,KG04,1.592461,KGZ
2012,Naryn,KG04,1.562362,KGZ
2013,Naryn,KG04,0.741692,KGZ
2014,Naryn,KG04,0.037976,KGZ
2015,Naryn,KG04,0.214395,KGZ
2016,Naryn,KG04,0.157299,KGZ
2017,Naryn,KG04,0.091702,KGZ
2018,Naryn,KG04,0.01,KGZ
2020,Naryn,KG04,0.086033,KGZ
2007,Osh,KG06,0.042933,KGZ
2008,Osh,KG06,5.639406,KGZ
2009,Osh,KG06,0.057255,KGZ
2010,Osh,KG06,0.198522,KGZ
2011,Osh,KG06,0.369869,KGZ
2012,Osh,KG06,0.17834,KGZ
2013,Osh,KG06,0.010609,KGZ
2014,Osh,KG06,0.00357,KGZ
2015,Osh,KG06,4.302561,KGZ
2016,Osh,KG06,0.049422,KGZ
2017,Osh,KG06,0.702855,KGZ
2018,Osh,KG06,0.03,KGZ
2019,Osh,KG06,0.005898,KGZ
2007,Talas,KG07,0.210978,KGZ
2008,Talas,KG07,0.051951,KGZ
2009,Talas,KG07,0.405354,KGZ
2010,Talas,KG07,0.29974,KGZ
2011,Talas,KG07,0.045177,KGZ
2012,Talas,KG07,0.518047,KGZ
2013,Talas,KG07,0.05949,KGZ
2014,Talas,KG07,0.008098,KGZ
2015,Talas,KG07,0.061365,KGZ
2016,Talas,KG07,0.517318,KGZ
2017,Talas,KG07,0.092032,KGZ
2018,Talas,KG07,0.0,KGZ
2007,Chui,KG08,0.035582,KGZ
2010,Chui,KG08,0.005701,KGZ
2011,Chui,KG08,0.01326,KGZ
2012,Chui,KG08,0.004035,KGZ
2013,Chui,KG08,0.029168,KGZ
2014,Chui,KG08,0.033948,KGZ
2015,Chui,KG08,0.033197,KGZ
2016,Chui,KG08,0.118862,KGZ
2017,Chui,KG08,0.234678,KGZ
2018,Chui,KG08,0.01,KGZ
2019,Chui,KG08,0.00233,KGZ
2020,Chui,KG08,1.2e-05,KGZ
2007,Bishkek (city),KG11,0.063779,KGZ
2008,Bishkek (city),KG11,0.060758,KGZ
2013,Bishkek (city),KG11,0.00051,KGZ
2015,Bishkek (city),KG11,0.028178,KGZ
2016,Bishkek (city),KG11,0.047988,KGZ
2017,Bishkek (city),KG11,0.006461,KGZ
2018,Bishkek (city),KG11,0.37,KGZ
2019,Bishkek (city),KG11,0.046929,KGZ
2007,Osh (city),KG21,0.01574,KGZ
2008,Osh (city),KG21,0.003371,KGZ
2012,Osh (city),KG21,0.006958,KGZ
2013,Osh (city),KG21,0.034602,KGZ
2015,Osh (city),KG21,0.61872,KGZ
2016,Osh (city),KG21,0.001192,KGZ
2017,Osh (city),KG21,0.202023,KGZ
2019,Osh (city),KG21,0.001168,KGZ
