Year,Value,M49_country_code
2007,0.005563,KGZ
2009,0.140359,KGZ
2010,0.003078,KGZ
2012,0.002556,KGZ
2013,1.679666,KGZ
2014,0.789433,KGZ
2015,0.970937,KGZ
2016,0.027618,KGZ
2017,0.093613,KGZ
2018,0.0002,KGZ
2019,0.026567,KGZ
2020,0.002,KGZ
2021,0.003,KGZ
