Year,Reference area,Sex,GeoCode,Value,M49_country_code
2010,,,,13.4,KGZ
2013,,,,8.5,KGZ
2014,,,,7.7,KGZ
2015,,,,6.7,KGZ
2016,,,,7.6,KGZ
2017,,,,4.3,KGZ
2018,,,,4.5,KGZ
2019,,,,2.5,KGZ
2020,,,,2.385958,KGZ
2021,,,,2.017315,KGZ
2010,,Female,,1.7,KGZ
2013,,Female,,0.4,KGZ
2014,,Female,,1.1,KGZ
2015,,Female,,0.4,KGZ
2016,,Female,,0.5,KGZ
2017,,Female,,0.3,KGZ
2018,,Female,,0.4,KGZ
2019,,Female,,0.1,KGZ
2020,,Female,,0.091859,KGZ
2021,,Female,,0.118672,KGZ
2010,,Male,,25.3,KGZ
2013,,Male,,16.8,KGZ
2014,,Male,,14.5,KGZ
2015,,Male,,13.1,KGZ
2016,,Male,,14.8,KGZ
2017,,Male,,8.5,KGZ
2018,,Male,,8.8,KGZ
2019,,Male,,4.9,KGZ
2020,,Male,,4.646537,KGZ
2021,,Male,,3.944091,KGZ
2010,Batken,,KG05,1.6,KGZ
2013,Batken,,KG05,1.5,KGZ
2014,Batken,,KG05,1.3,KGZ
2015,Batken,,KG05,1.2,KGZ
2016,Batken,,KG05,2.2,KGZ
2017,Batken,,KG05,0.8,KGZ
2018,Batken,,KG05,0.4,KGZ
2019,Batken,,KG05,0.2,KGZ
2020,Batken,,KG05,0.368456,KGZ
2021,Batken,,KG05,0.0,KGZ
2016,Batken,Female,KG05,0.4,KGZ
2018,Batken,Female,KG05,0.0,KGZ
2019,Batken,Female,KG05,0.0,KGZ
2010,Batken,Male,KG05,3.1,KGZ
2013,Batken,Male,KG05,3.0,KGZ
2014,Batken,Male,KG05,2.5,KGZ
2015,Batken,Male,KG05,2.4,KGZ
2016,Batken,Male,KG05,3.9,KGZ
2017,Batken,Male,KG05,1.5,KGZ
2018,Batken,Male,KG05,0.8,KGZ
2019,Batken,Male,KG05,0.4,KGZ
2020,Batken,Male,KG05,0.750965,KGZ
2021,Batken,Male,KG05,0.0,KGZ
2010,Jalal-Abad,,KG03,5.2,KGZ
2013,Jalal-Abad,,KG03,3.2,KGZ
2014,Jalal-Abad,,KG03,2.3,KGZ
