Year,Reference area,GeoCode,Value,M49_country_code
2015,,,23.470187,KGZ
2016,,,28.487981,KGZ
2017,,,31.143928,KGZ
2018,,,27.299499,KGZ
2019,,,28.931149,KGZ
2020,,,25.2,KGZ
2015,Batken,KG05,29.364645,KGZ
2016,Batken,KG05,47.911855,KGZ
2017,Batken,KG05,46.221681,KGZ
2018,Batken,KG05,42.644557,KGZ
2019,Batken,KG05,38.677928,KGZ
2020,Batken,KG05,39.4,KGZ
2015,Jalal-Abad,KG03,43.58955,KGZ
2016,Jalal-Abad,KG03,37.24933,KGZ
2017,Jalal-Abad,KG03,35.4,KGZ
2018,Jalal-Abad,KG03,32.708436,KGZ
2019,Jalal-Abad,KG03,34.657679,KGZ
2020,Jalal-Abad,KG03,35.1,KGZ
2015,Issyk-Kul,KG02,-1.504559,KGZ
2016,Issyk-Kul,KG02,16.638283,KGZ
2017,Issyk-Kul,KG02,29.5,KGZ
2018,Issyk-Kul,KG02,19.463418,KGZ
2019,Issyk-Kul,KG02,31.583101,KGZ
2020,Issyk-Kul,KG02,42.7,KGZ
2015,Naryn,KG04,20.617825,KGZ
2016,Naryn,KG04,19.923049,KGZ
2017,Naryn,KG04,28.473393,KGZ
2018,Naryn,KG04,30.739784,KGZ
2019,Naryn,KG04,47.289369,KGZ
2020,Naryn,KG04,37.5,KGZ
2015,Osh,KG06,34.255749,KGZ
2016,Osh,KG06,30.917948,KGZ
2017,Osh,KG06,32.665922,KGZ
2018,Osh,KG06,27.856595,KGZ
2019,Osh,KG06,37.990784,KGZ
2020,Osh,KG06,40.9,KGZ
2015,Talas,KG07,36.443189,KGZ
2016,Talas,KG07,34.131511,KGZ
2017,Talas,KG07,31.207421,KGZ
2018,Talas,KG07,34.060446,KGZ
2019,Talas,KG07,29.962169,KGZ
2020,Talas,KG07,36.7,KGZ
2015,Chui,KG08,31.422096,KGZ
2016,Chui,KG08,25.580014,KGZ
2017,Chui,KG08,38.456746,KGZ
2018,Chui,KG08,35.486614,KGZ
2019,Chui,KG08,23.647168,KGZ
2020,Chui,KG08,24.7,KGZ
2015,Bishkek (city),KG11,9.584576,KGZ
2016,Bishkek (city),KG11,12.583671,KGZ
2017,Bishkek (city),KG11,16.3,KGZ
2018,Bishkek (city),KG11,12.865469,KGZ
2019,Bishkek (city),KG11,16.50586,KGZ
2020,Bishkek (city),KG11,-8.0,KGZ
2015,Osh (city),KG21,16.932905,KGZ
2016,Osh (city),KG21,40.826476,KGZ
2017,Osh (city),KG21,42.862634,KGZ
2018,Osh (city),KG21,38.281575,KGZ
2019,Osh (city),KG21,31.381882,KGZ
2020,Osh (city),KG21,38.8,KGZ
