unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
01_101_,Total,True,2000,13.8,UZB
01_101_,Total,True,2001,14.0,UZB
01_101_,Total,True,2002,14.3,UZB
01_101_,Total,True,2003,14.3,UZB
01_101_,Total,True,2004,14.4,UZB
01_101_,Total,True,2005,14.5,UZB
01_101_,Total,True,2006,14.6,UZB
01_101_,Total,True,2007,14.6,UZB
01_101_,Total,True,2008,14.8,UZB
01_101_,Total,True,2009,14.9,UZB
01_101_,Total,True,2010,15.0,UZB
01_101_,Total,True,2011,15.0,UZB
01_101_,Total,True,2012,15.0,UZB
01_101_,Total,True,2013,15.1,UZB
01_101_,Total,True,2014,15.2,UZB
01_101_,Total,True,2015,15.2,UZB
01_101_,Total,True,2016,15.4,UZB
01_101_,Total,True,2017,15.7,UZB
01_101_,Total,True,2018,15.8,UZB
01_101_,Total,True,2019,16.0,UZB
01_101_,Total,True,2020,16.0,UZB
01_101_,Total,True,2021,18.2,UZB
11_102_,city,True,2000,14.6,UZB
11_102_,city,True,2001,14.9,UZB
11_102_,city,True,2002,15.0,UZB
11_102_,city,True,2003,14.9,UZB
11_102_,city,True,2004,15.1,UZB
11_102_,city,True,2005,15.1,UZB
11_102_,city,True,2006,15.3,UZB
11_102_,city,True,2007,15.3,UZB
11_102_,city,True,2008,14.8,UZB
11_102_,city,True,2009,15.1,UZB
11_102_,city,True,2010,15.4,UZB
11_102_,city,True,2011,15.4,UZB
11_102_,city,True,2012,15.4,UZB
11_102_,city,True,2013,15.3,UZB
11_102_,city,True,2014,15.4,UZB
11_102_,city,True,2015,15.4,UZB
11_102_,city,True,2016,15.4,UZB
11_102_,city,True,2017,15.8,UZB
11_102_,city,True,2018,16.0,UZB
11_102_,city,True,2019,16.1,UZB
11_102_,city,True,2020,16.1,UZB
11_102_,city,True,2021,18.0,UZB
11_103_,village,True,2000,13.3,UZB
11_103_,village,True,2001,13.5,UZB
11_103_,village,True,2002,13.8,UZB
11_103_,village,True,2003,13.9,UZB
11_103_,village,True,2004,14.1,UZB
11_103_,village,True,2005,14.2,UZB
11_103_,village,True,2006,14.2,UZB
11_103_,village,True,2007,14.3,UZB
11_103_,village,True,2008,14.9,UZB
11_103_,village,True,2009,14.6,UZB
11_103_,village,True,2010,14.5,UZB
11_103_,village,True,2011,14.5,UZB
11_103_,village,True,2012,14.5,UZB
11_103_,village,True,2013,14.9,UZB
11_103_,village,True,2014,14.9,UZB
11_103_,village,True,2015,15.0,UZB
11_103_,village,True,2016,15.4,UZB
11_103_,village,True,2017,15.5,UZB
11_103_,village,True,2018,15.7,UZB
11_103_,village,True,2019,15.9,UZB
11_103_,village,True,2020,16.0,UZB
11_103_,village,True,2021,18.5,UZB
