unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
10_104_,Republic of Karakalpakstan,True,2000,1.7,UZB
10_104_,Republic of Karakalpakstan,True,2001,1.7,UZB
10_104_,Republic of Karakalpakstan,True,2002,1.5,UZB
10_104_,Republic of Karakalpakstan,True,2003,1.1,UZB
10_104_,Republic of Karakalpakstan,True,2004,1.0,UZB
10_104_,Republic of Karakalpakstan,True,2005,1.0,UZB
10_104_,Republic of Karakalpakstan,True,2006,0.8,UZB
10_104_,Republic of Karakalpakstan,True,2007,7.0,UZB
10_104_,Republic of Karakalpakstan,True,2008,7.0,UZB
10_104_,Republic of Karakalpakstan,True,2009,6.9,UZB
10_104_,Republic of Karakalpakstan,True,2010,7.4,UZB
10_104_,Republic of Karakalpakstan,True,2011,6.6,UZB
10_104_,Republic of Karakalpakstan,True,2012,6.4,UZB
10_104_,Republic of Karakalpakstan,True,2013,6.2,UZB
10_104_,Republic of Karakalpakstan,True,2014,5.4,UZB
10_104_,Republic of Karakalpakstan,True,2015,5.3,UZB
10_104_,Republic of Karakalpakstan,True,2016,5.4,UZB
10_104_,Republic of Karakalpakstan,True,2017,6.0,UZB
10_104_,Republic of Karakalpakstan,True,2018,9.5,UZB
10_104_,Republic of Karakalpakstan,True,2019,9.1,UZB
10_104_,Republic of Karakalpakstan,True,2020,10.5,UZB
10_104_,Republic of Karakalpakstan,True,2021,0.0,UZB
10_105_,Andizhan Region,True,2000,0.3,UZB
10_105_,Andizhan Region,True,2001,0.3,UZB
10_105_,Andizhan Region,True,2002,0.3,UZB
10_105_,Andizhan Region,True,2003,0.2,UZB
10_105_,Andizhan Region,True,2004,0.2,UZB
10_105_,Andizhan Region,True,2005,0.1,UZB
10_105_,Andizhan Region,True,2006,0.1,UZB
10_105_,Andizhan Region,True,2007,5.9,UZB
10_105_,Andizhan Region,True,2008,5.8,UZB
10_105_,Andizhan Region,True,2009,5.4,UZB
10_105_,Andizhan Region,True,2010,5.8,UZB
10_105_,Andizhan Region,True,2011,5.3,UZB
10_105_,Andizhan Region,True,2012,5.3,UZB
10_105_,Andizhan Region,True,2013,5.4,UZB
10_105_,Andizhan Region,True,2014,5.6,UZB
10_105_,Andizhan Region,True,2015,5.6,UZB
10_105_,Andizhan Region,True,2016,5.6,UZB
10_105_,Andizhan Region,True,2017,6.0,UZB
10_105_,Andizhan Region,True,2018,9.6,UZB
10_105_,Andizhan Region,True,2019,9.2,UZB
10_105_,Andizhan Region,True,2020,10.9,UZB
10_105_,Andizhan Region,True,2021,0.0,UZB
10_106_,Bukhara Region,True,2000,0.3,UZB
10_106_,Bukhara Region,True,2001,0.3,UZB
10_106_,Bukhara Region,True,2002,0.1,UZB
10_106_,Bukhara Region,True,2003,0.1,UZB
10_106_,Bukhara Region,True,2004,0.1,UZB
10_106_,Bukhara Region,True,2005,0.1,UZB
10_106_,Bukhara Region,True,2006,0.1,UZB
10_106_,Bukhara Region,True,2007,4.5,UZB
10_106_,Bukhara Region,True,2008,4.4,UZB
10_106_,Bukhara Region,True,2009,4.9,UZB
10_106_,Bukhara Region,True,2010,5.2,UZB
10_106_,Bukhara Region,True,2011,4.9,UZB
10_106_,Bukhara Region,True,2012,4.7,UZB
10_106_,Bukhara Region,True,2013,4.8,UZB
