,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,KAZ,2022,,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
1,KAZ,2021,2.3257200457187,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
2,KAZ,2020,4.21992241047706,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
3,KAZ,2019,2.05367643388584,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
4,KAZ,2018,0.196995407987547,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
5,KAZ,2017,2.8520571787889,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
6,KAZ,2016,12.5466202801439,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
7,KAZ,2015,3.56737349139873,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
8,KAZ,2014,3.30063172666218,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
9,KAZ,2013,4.2306980098169,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
10,KAZ,2012,6.56164821145973,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
11,KAZ,2011,7.14350878983557,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
12,KAZ,2010,5.03630628288047,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
13,KAZ,2009,12.380586215739,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
14,KAZ,2008,12.6039324591596,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
15,KAZ,2007,11.4190328203963,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
16,KAZ,2006,9.39605364941883,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
17,KAZ,2005,4.45711144385218,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",KZ,Kazakhstan
