Year,UNIT_MEASURE,Value,M49_country_code
2010,persons,1043,KAZ
2011,persons,877,KAZ
2012,persons,769,KAZ
2013,persons,656,KAZ
2014,persons,701,KAZ
2015,persons,768,KAZ
2016,persons,810,KAZ
2017,persons,834,KAZ
2018,persons,877,KAZ
2019,persons,1146,KAZ
2020,persons,999,KAZ
