Year,UNIT_MEASURE,Value,M49_country_code,SERIES
2010,million tenge,-527264.2,KAZ,
2011,million tenge,-568618.5,KAZ,
2012,million tenge,-890308.7,KAZ,
2013,million tenge,-700927.8,KAZ,
2014,million tenge,-1086670.4,KAZ,
2015,million tenge,-915704.8,KAZ,
2016,million tenge,-737717.6,KAZ,
2017,million tenge,-1455319.8,KAZ,
2018,million tenge,-833072.3,KAZ,
2019,million tenge,-1285306.7,KAZ,
2020,million tenge,-2806150.2,KAZ,
2021,million tenge,-2534806.2,KAZ,
2008,,29.2,KGZ,Assets to GDP
2009,,36.6,KGZ,Assets to GDP
2010,,27.6,KGZ,Assets to GDP
2011,,23.6,KGZ,Assets to GDP
2012,,28.2,KGZ,Assets to GDP
2013,,31.3,KGZ,Assets to GDP
2014,,34.3,KGZ,Assets to GDP
2015,,41.4,KGZ,Assets to GDP
2016,,37.4,KGZ,Assets to GDP
2017,,37.3,KGZ,Assets to GDP
2018,,39.8,KGZ,Assets to GDP
2019,,40.2,KGZ,Assets to GDP
2020,,48.3,KGZ,Assets to GDP
2021,,49.9,KGZ,Assets to GDP
2007,,16.5,KGZ,Deposits to GDP
2008,,15.7,KGZ,Deposits to GDP
2009,,19.7,KGZ,Deposits to GDP
2010,,15.5,KGZ,Deposits to GDP
2011,,13.5,KGZ,Deposits to GDP
2012,,16.3,KGZ,Deposits to GDP
2013,,19.0,KGZ,Deposits to GDP
2014,,20.6,KGZ,Deposits to GDP
2015,,23.9,KGZ,Deposits to GDP
2016,,22.5,KGZ,Deposits to GDP
2017,,22.9,KGZ,Deposits to GDP
2018,,23.9,KGZ,Deposits to GDP
2019,,24.4,KGZ,Deposits to GDP
2020,,30.2,KGZ,Deposits to GDP
2021,,33.6,KGZ,Deposits to GDP
2007,,14.7,KGZ,Loans to GDP
2008,,13.6,KGZ,Loans to GDP
2009,,12.5,KGZ,Loans to GDP
2010,,12.0,KGZ,Loans to GDP
2011,,10.9,KGZ,Loans to GDP
2012,,12.9,KGZ,Loans to GDP
2013,,15.2,KGZ,Loans to GDP
2014,,19.7,KGZ,Loans to GDP
2015,,21.8,KGZ,Loans to GDP
2016,,19.6,KGZ,Loans to GDP
2017,,20.4,KGZ,Loans to GDP
2018,,23.0,KGZ,Loans to GDP
2019,,23.7,KGZ,Loans to GDP
2020,,27.2,KGZ,Loans to GDP
2021,,25.1,KGZ,Loans to GDP
