Year,UNIT_MEASURE,Regions,Area,Sex,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,per 100000 population,,,,20.71,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,,,19.75,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,,,14.66,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,,,24.64,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,,,3.8,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,,,14.35,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,,,31.43,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,,,20.3,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,,,11.67,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,,,20.73,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,,,21.8,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,,,32.41,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,,,16.23,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,,,17.59,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,,,17.95,KAZ,,,,,,,
2010.0,per 100000 population,Nur-Sultan city,,,14.41,KAZ,,,,,,,
2010.0,per 100000 population,Almaty city,,,14.48,KAZ,,,,,,,
2010.0,per 100000 population,,urban,,18.58,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,urban,,20.74,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,urban,,13.57,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,urban,,26.43,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,urban,,4.79,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,urban,,12.9,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,urban,,30.6,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,urban,,19.58,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,urban,,10.17,KAZ,,,,,,,
