Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,0.15,KAZ,,,,,
2010.0,Percent,Akmola,0.1,KAZ,,,,,
2010.0,Percent,Aktobe,0.05,KAZ,,,,,
2010.0,Percent,Almaty,0.07,KAZ,,,,,
2010.0,Percent,Atyrau,0.08,KAZ,,,,,
2010.0,Percent,Batys Kazakhstan,0.02,KAZ,,,,,
2010.0,Percent,Zhambyl,0.27,KAZ,,,,,
2010.0,Percent,Karagandy,0.05,KAZ,,,,,
2010.0,Percent,Kostanay,0.03,KAZ,,,,,
2010.0,Percent,Kyzylorda,0.01,KAZ,,,,,
2010.0,Percent,Mangistau,0.21,KAZ,,,,,
2010.0,Percent,Ontustik Kazakhstan,0.04,KAZ,,,,,
2010.0,Percent,Pavlodar,0.02,KAZ,,,,,
2010.0,Percent,Soltustik Kazakhstan,0.02,KAZ,,,,,
2010.0,Percent,Shygys Kazakhstan,0.41,KAZ,,,,,
2010.0,Percent,Nur-Sultan city,0.25,KAZ,,,,,
2010.0,Percent,Almaty city,0.34,KAZ,,,,,
2011.0,Percent,,0.15,KAZ,,,,,
2011.0,Percent,Akmola,0.06,KAZ,,,,,
2011.0,Percent,Aktobe,0.04,KAZ,,,,,
2011.0,Percent,Almaty,0.08,KAZ,,,,,
2011.0,Percent,Atyrau,0.08,KAZ,,,,,
2011.0,Percent,Batys Kazakhstan,0.03,KAZ,,,,,
2011.0,Percent,Zhambyl,0.03,KAZ,,,,,
2011.0,Percent,Karagandy,0.06,KAZ,,,,,
2011.0,Percent,Kostanay,0.02,KAZ,,,,,
2011.0,Percent,Kyzylorda,0.01,KAZ,,,,,
2011.0,Percent,Mangistau,0.28,KAZ,,,,,
2011.0,Percent,Ontustik Kazakhstan,0.03,KAZ,,,,,
2011.0,Percent,Pavlodar,0.03,KAZ,,,,,
2011.0,Percent,Soltustik Kazakhstan,0.02,KAZ,,,,,
2011.0,Percent,Shygys Kazakhstan,0.26,KAZ,,,,,
2011.0,Percent,Nur-Sultan city,0.43,KAZ,,,,,
2011.0,Percent,Almaty city,0.34,KAZ,,,,,
2012.0,Percent,,0.17,KAZ,,,,,
2012.0,Percent,Akmola,0.08,KAZ,,,,,
2012.0,Percent,Aktobe,0.04,KAZ,,,,,
2012.0,Percent,Almaty,0.06,KAZ,,,,,
2012.0,Percent,Atyrau,0.1,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,0.03,KAZ,,,,,
2012.0,Percent,Zhambyl,0.2,KAZ,,,,,
2012.0,Percent,Karagandy,0.12,KAZ,,,,,
2012.0,Percent,Kostanay,0.03,KAZ,,,,,
2012.0,Percent,Kyzylorda,0.02,KAZ,,,,,
2012.0,Percent,Mangistau,0.29,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,0.05,KAZ,,,,,
2012.0,Percent,Pavlodar,0.03,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,0.03,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,0.22,KAZ,,,,,
2012.0,Percent,Nur-Sultan city,0.39,KAZ,,,,,
2012.0,Percent,Almaty city,0.33,KAZ,,,,,
2013.0,Percent,,0.17,KAZ,,,,,
2013.0,Percent,Akmola,0.08,KAZ,,,,,
2013.0,Percent,Aktobe,0.03,KAZ,,,,,
2013.0,Percent,Almaty,0.06,KAZ,,,,,
2013.0,Percent,Atyrau,0.05,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,0.05,KAZ,,,,,
2013.0,Percent,Zhambyl,0.12,KAZ,,,,,
2013.0,Percent,Karagandy,0.13,KAZ,,,,,
2013.0,Percent,Kostanay,0.03,KAZ,,,,,
2013.0,Percent,Kyzylorda,0.01,KAZ,,,,,
2013.0,Percent,Mangistau,0.25,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,0.05,KAZ,,,,,
2013.0,Percent,Pavlodar,0.02,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,0.03,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,0.18,KAZ,,,,,
2013.0,Percent,Nur-Sultan city,0.28,KAZ,,,,,
2013.0,Percent,Almaty city,0.43,KAZ,,,,,
2014.0,Percent,,0.17,KAZ,,,,,
2014.0,Percent,Akmola,0.08,KAZ,,,,,
2014.0,Percent,Aktobe,0.04,KAZ,,,,,
2014.0,Percent,Almaty,0.04,KAZ,,,,,
2014.0,Percent,Atyrau,0.04,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,0.03,KAZ,,,,,
2014.0,Percent,Zhambyl,0.13,KAZ,,,,,
2014.0,Percent,Karagandy,0.14,KAZ,,,,,
2014.0,Percent,Kostanay,0.04,KAZ,,,,,
2014.0,Percent,Kyzylorda,0.02,KAZ,,,,,
2014.0,Percent,Mangistau,0.25,KAZ,,,,,
2014.0,Percent,Ontustik Kazakhstan,0.05,KAZ,,,,,
2014.0,Percent,Pavlodar,0.02,KAZ,,,,,
2014.0,Percent,Soltustik Kazakhstan,0.03,KAZ,,,,,
2014.0,Percent,Shygys Kazakhstan,0.13,KAZ,,,,,
2014.0,Percent,Nur-Sultan city,0.25,KAZ,,,,,
2014.0,Percent,Almaty city,0.42,KAZ,,,,,
2015.0,Percent,,0.17,KAZ,,,,,
2015.0,Percent,Akmola,0.1,KAZ,,,,,
2015.0,Percent,Aktobe,0.04,KAZ,,,,,
2015.0,Percent,Almaty,0.05,KAZ,,,,,
2015.0,Percent,Atyrau,0.06,KAZ,,,,,
2015.0,Percent,Batys Kazakhstan,0.04,KAZ,,,,,
2015.0,Percent,Zhambyl,0.07,KAZ,,,,,
2015.0,Percent,Karagandy,0.12,KAZ,,,,,
2015.0,Percent,Kostanay,0.04,KAZ,,,,,
2015.0,Percent,Kyzylorda,0.02,KAZ,,,,,
2015.0,Percent,Mangistau,0.36,KAZ,,,,,
2015.0,Percent,Ontustik Kazakhstan,0.05,KAZ,,,,,
2015.0,Percent,Pavlodar,0.02,KAZ,,,,,
2015.0,Percent,Soltustik Kazakhstan,0.03,KAZ,,,,,
2015.0,Percent,Shygys Kazakhstan,0.14,KAZ,,,,,
2015.0,Percent,Nur-Sultan city,0.28,KAZ,,,,,
2015.0,Percent,Almaty city,0.35,KAZ,,,,,
2016.0,Percent,,0.14,KAZ,,,,,
2016.0,Percent,Akmola,0.06,KAZ,,,,,
2016.0,Percent,Aktobe,0.04,KAZ,,,,,
2016.0,Percent,Almaty,0.04,KAZ,,,,,
2016.0,Percent,Atyrau,0.05,KAZ,,,,,
2016.0,Percent,Batys Kazakhstan,0.09,KAZ,,,,,
2016.0,Percent,Zhambyl,0.04,KAZ,,,,,
2016.0,Percent,Karagandy,0.12,KAZ,,,,,
2016.0,Percent,Kostanay,0.04,KAZ,,,,,
2016.0,Percent,Kyzylorda,0.05,KAZ,,,,,
2016.0,Percent,Mangistau,0.32,KAZ,,,,,
2016.0,Percent,Ontustik Kazakhstan,0.04,KAZ,,,,,
2016.0,Percent,Pavlodar,0.02,KAZ,,,,,
2016.0,Percent,Soltustik Kazakhstan,0.02,KAZ,,,,,
2016.0,Percent,Shygys Kazakhstan,0.12,KAZ,,,,,
2016.0,Percent,Nur-Sultan city,0.29,KAZ,,,,,
2016.0,Percent,Almaty city,0.25,KAZ,,,,,
2017.0,Percent,,0.13,KAZ,,,,,
2017.0,Percent,Akmola,0.06,KAZ,,,,,
2017.0,Percent,Aktobe,0.04,KAZ,,,,,
2017.0,Percent,Almaty,0.04,KAZ,,,,,
2017.0,Percent,Atyrau,0.06,KAZ,,,,,
2017.0,Percent,Batys Kazakhstan,0.01,KAZ,,,,,
2017.0,Percent,Zhambyl,0.08,KAZ,,,,,
2017.0,Percent,Karagandy,0.08,KAZ,,,,,
2017.0,Percent,Kostanay,0.06,KAZ,,,,,
2017.0,Percent,Kyzylorda,0.04,KAZ,,,,,
2017.0,Percent,Mangistau,0.24,KAZ,,,,,
2017.0,Percent,Ontustik Kazakhstan,0.03,KAZ,,,,,
2017.0,Percent,Pavlodar,0.01,KAZ,,,,,
2017.0,Percent,Soltustik Kazakhstan,0.02,KAZ,,,,,
