Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code,Reference area,Sex,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
,,,,UZB,,,,11_150_,"number of doctors of all specialties per 10,000 population",True,2019.0,27.1
,,,,UZB,,,,11_150_,"number of doctors of all specialties per 10,000 population",True,2020.0,27.0
,,,,UZB,,,,11_150_,"number of doctors of all specialties per 10,000 population",True,2021.0,27.1
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2000.0,104.7
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2001.0,104.7
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2002.0,104.6
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2003.0,103.8
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2004.0,102.2
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2005.0,103.0
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2006.0,102.9
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2007.0,104.8
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2008.0,105.8
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2009.0,107.8
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2010.0,106.5
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2011.0,108.2
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2012.0,108.2
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2013.0,107.4
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2014.0,107.2
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2015.0,106.5
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2016.0,106.3
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2017.0,106.6
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2018.0,107.3
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2019.0,107.8
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2020.0,107.0
,,,,UZB,,,,11_151_,"number of secondary medical personnel per 10,000 population",True,2021.0,105.6
