Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,persons,,107786.0,KAZ,,,,,
2010.0,persons,Akmola,1423.0,KAZ,,,,,
2010.0,persons,Aktobe,5642.0,KAZ,,,,,
2010.0,persons,Almaty,3869.0,KAZ,,,,,
2010.0,persons,Atyrau,1558.0,KAZ,,,,,
2010.0,persons,Batys Kazakhstan,3019.0,KAZ,,,,,
2010.0,persons,Karagandy,9640.0,KAZ,,,,,
2010.0,persons,Kostanay,6198.0,KAZ,,,,,
2010.0,persons,Kyzylorda,10565.0,KAZ,,,,,
2010.0,persons,Mangistau,15848.0,KAZ,,,,,
2010.0,persons,Ontustik Kazakhstan,8500.0,KAZ,,,,,
2010.0,persons,Pavlodar,1040.0,KAZ,,,,,
2010.0,persons,Soltustik Kazakhstan,497.0,KAZ,,,,,
2010.0,persons,Shygys Kazakhstan,25021.0,KAZ,,,,,
2010.0,persons,Nur-Sultan city,3.0,KAZ,,,,,
2010.0,persons,Almaty city,16347.0,KAZ,,,,,
2011.0,persons,,134568.0,KAZ,,,,,
2011.0,persons,Akmola,1192.0,KAZ,,,,,
2011.0,persons,Aktobe,2221.0,KAZ,,,,,
2011.0,persons,Almaty,3475.0,KAZ,,,,,
2011.0,persons,Atyrau,1720.0,KAZ,,,,,
2011.0,persons,Batys Kazakhstan,3059.0,KAZ,,,,,
2011.0,persons,Zhambyl,286.0,KAZ,,,,,
2011.0,persons,Karagandy,9270.0,KAZ,,,,,
2011.0,persons,Kostanay,6106.0,KAZ,,,,,
2011.0,persons,Kyzylorda,12262.0,KAZ,,,,,
2011.0,persons,Mangistau,16563.0,KAZ,,,,,
2011.0,persons,Ontustik Kazakhstan,1638.0,KAZ,,,,,
2011.0,persons,Pavlodar,857.0,KAZ,,,,,
2011.0,persons,Soltustik Kazakhstan,3381.0,KAZ,,,,,
2011.0,persons,Shygys Kazakhstan,25250.0,KAZ,,,,,
2011.0,persons,Nur-Sultan city,6545.0,KAZ,,,,,
2011.0,persons,Almaty city,40743.0,KAZ,,,,,
2012.0,persons,,114150.0,KAZ,,,,,
2012.0,persons,Akmola,786.0,KAZ,,,,,
2012.0,persons,Aktobe,2229.0,KAZ,,,,,
2012.0,persons,Almaty,2680.0,KAZ,,,,,
2012.0,persons,Atyrau,2802.0,KAZ,,,,,
2012.0,persons,Batys Kazakhstan,2698.0,KAZ,,,,,
2012.0,persons,Zhambyl,534.0,KAZ,,,,,
2012.0,persons,Karagandy,7768.0,KAZ,,,,,
2012.0,persons,Kostanay,5938.0,KAZ,,,,,
2012.0,persons,Kyzylorda,1262.0,KAZ,,,,,
2012.0,persons,Mangistau,16012.0,KAZ,,,,,
2012.0,persons,Ontustik Kazakhstan,874.0,KAZ,,,,,
2012.0,persons,Pavlodar,826.0,KAZ,,,,,
2012.0,persons,Soltustik Kazakhstan,3586.0,KAZ,,,,,
2012.0,persons,Shygys Kazakhstan,16438.0,KAZ,,,,,
2012.0,persons,Nur-Sultan city,6791.0,KAZ,,,,,
2012.0,persons,Almaty city,42926.0,KAZ,,,,,
2013.0,persons,,111466.0,KAZ,,,,,
2013.0,persons,Akmola,581.0,KAZ,,,,,
2013.0,persons,Aktobe,2172.0,KAZ,,,,,
2013.0,persons,Almaty,2287.0,KAZ,,,,,
2013.0,persons,Atyrau,2818.0,KAZ,,,,,
2013.0,persons,Batys Kazakhstan,2643.0,KAZ,,,,,
2013.0,persons,Zhambyl,679.0,KAZ,,,,,
2013.0,persons,Karagandy,7451.0,KAZ,,,,,
2013.0,persons,Kostanay,5947.0,KAZ,,,,,
2013.0,persons,Kyzylorda,1117.0,KAZ,,,,,
2013.0,persons,Mangistau,15653.0,KAZ,,,,,
2013.0,persons,Ontustik Kazakhstan,898.0,KAZ,,,,,
2013.0,persons,Pavlodar,810.0,KAZ,,,,,
2013.0,persons,Soltustik Kazakhstan,3915.0,KAZ,,,,,
2013.0,persons,Shygys Kazakhstan,13382.0,KAZ,,,,,
2013.0,persons,Nur-Sultan city,6918.0,KAZ,,,,,
2013.0,persons,Almaty city,44195.0,KAZ,,,,,
2014.0,persons,,120609.0,KAZ,,,,,
2014.0,persons,Akmola,595.0,KAZ,,,,,
2014.0,persons,Aktobe,1047.0,KAZ,,,,,
2014.0,persons,Almaty,1908.0,KAZ,,,,,
2014.0,persons,Atyrau,2760.0,KAZ,,,,,
2014.0,persons,Batys Kazakhstan,2580.0,KAZ,,,,,
2014.0,persons,Zhambyl,3561.0,KAZ,,,,,
2014.0,persons,Karagandy,7919.0,KAZ,,,,,
2014.0,persons,Kostanay,5847.0,KAZ,,,,,
2014.0,persons,Kyzylorda,1195.0,KAZ,,,,,
2014.0,persons,Mangistau,15743.0,KAZ,,,,,
2014.0,persons,Ontustik Kazakhstan,521.0,KAZ,,,,,
2014.0,persons,Pavlodar,802.0,KAZ,,,,,
2014.0,persons,Soltustik Kazakhstan,3946.0,KAZ,,,,,
2014.0,persons,Shygys Kazakhstan,13508.0,KAZ,,,,,
2014.0,persons,Nur-Sultan city,9393.0,KAZ,,,,,
2014.0,persons,Almaty city,49284.0,KAZ,,,,,
2015.0,persons,,108673.0,KAZ,,,,,
2015.0,persons,Akmola,1586.0,KAZ,,,,,
2015.0,persons,Aktobe,1182.0,KAZ,,,,,
2015.0,persons,Almaty,1607.0,KAZ,,,,,
2015.0,persons,Atyrau,3124.0,KAZ,,,,,
2015.0,persons,Batys Kazakhstan,2414.0,KAZ,,,,,
2015.0,persons,Zhambyl,3376.0,KAZ,,,,,
2015.0,persons,Karagandy,7120.0,KAZ,,,,,
2015.0,persons,Kostanay,6202.0,KAZ,,,,,
2015.0,persons,Kyzylorda,1338.0,KAZ,,,,,
2015.0,persons,Mangistau,13938.0,KAZ,,,,,
2015.0,persons,Ontustik Kazakhstan,585.0,KAZ,,,,,
2015.0,persons,Pavlodar,784.0,KAZ,,,,,
2015.0,persons,Soltustik Kazakhstan,1239.0,KAZ,,,,,
2015.0,persons,Shygys Kazakhstan,6051.0,KAZ,,,,,
2015.0,persons,Nur-Sultan city,7881.0,KAZ,,,,,
2015.0,persons,Almaty city,50246.0,KAZ,,,,,
2016.0,persons,,77947.0,KAZ,,,,,
2016.0,persons,Akmola,371.0,KAZ,,,,,
2016.0,persons,Aktobe,451.0,KAZ,,,,,
2016.0,persons,Almaty,1686.0,KAZ,,,,,
2016.0,persons,Atyrau,1309.0,KAZ,,,,,
2016.0,persons,Batys Kazakhstan,2633.0,KAZ,,,,,
2016.0,persons,Zhambyl,3.0,KAZ,,,,,
2016.0,persons,Karagandy,1678.0,KAZ,,,,,
2016.0,persons,Kostanay,3731.0,KAZ,,,,,
2016.0,persons,Kyzylorda,1332.0,KAZ,,,,,
2016.0,persons,Mangistau,426.0,KAZ,,,,,
2016.0,persons,Ontustik Kazakhstan,340.0,KAZ,,,,,
2016.0,persons,Pavlodar,775.0,KAZ,,,,,
2016.0,persons,Soltustik Kazakhstan,1347.0,KAZ,,,,,
2016.0,persons,Shygys Kazakhstan,2265.0,KAZ,,,,,
2016.0,persons,Nur-Sultan city,9686.0,KAZ,,,,,
2016.0,persons,Almaty city,49914.0,KAZ,,,,,
2017.0,persons,,68392.0,KAZ,,,,,
2017.0,persons,Akmola,389.0,KAZ,,,,,
2017.0,persons,Aktobe,384.0,KAZ,,,,,
2017.0,persons,Almaty,1763.0,KAZ,,,,,
2017.0,persons,Atyrau,1462.0,KAZ,,,,,
2017.0,persons,Batys Kazakhstan,1679.0,KAZ,,,,,
2017.0,persons,Zhambyl,2.0,KAZ,,,,,
2017.0,persons,Karagandy,1713.0,KAZ,,,,,
2017.0,persons,Kostanay,2431.0,KAZ,,,,,
2017.0,persons,Kyzylorda,102.0,KAZ,,,,,
2017.0,persons,Mangistau,231.0,KAZ,,,,,
2017.0,persons,Ontustik Kazakhstan,346.0,KAZ,,,,,
2017.0,persons,Pavlodar,844.0,KAZ,,,,,
2017.0,persons,Soltustik Kazakhstan,1379.0,KAZ,,,,,
2017.0,persons,Shygys Kazakhstan,2320.0,KAZ,,,,,
2017.0,persons,Nur-Sultan city,4513.0,KAZ,,,,,
2017.0,persons,Almaty city,48834.0,KAZ,,,,,
2018.0,persons,,69510.0,KAZ,,,,,
2018.0,persons,Akmola,417.0,KAZ,,,,,
2018.0,persons,Aktobe,414.0,KAZ,,,,,
2018.0,persons,Almaty,1838.0,KAZ,,,,,
2018.0,persons,Atyrau,1887.0,KAZ,,,,,
2018.0,persons,Batys Kazakhstan,1809.0,KAZ,,,,,
2018.0,persons,Karagandy,1229.0,KAZ,,,,,
2018.0,persons,Kostanay,2432.0,KAZ,,,,,
2018.0,persons,Kyzylorda,295.0,KAZ,,,,,
2018.0,persons,Mangistau,231.0,KAZ,,,,,
2018.0,persons,Pavlodar,951.0,KAZ,,,,,
2018.0,persons,Soltustik Kazakhstan,1209.0,KAZ,,,,,
2018.0,persons,Turkistan,326.0,KAZ,,,,,
2018.0,persons,Shygys Kazakhstan,2246.0,KAZ,,,,,
2018.0,persons,Nur-Sultan city,5324.0,KAZ,,,,,
2018.0,persons,Almaty city,48779.0,KAZ,,,,,
2018.0,persons,Shymkent city,123.0,KAZ,,,,,
2019.0,persons,,69389.0,KAZ,,,,,
2019.0,persons,Akmola,480.0,KAZ,,,,,
2019.0,persons,Aktobe,1108.0,KAZ,,,,,
2019.0,persons,Almaty,2438.0,KAZ,,,,,
2019.0,persons,Atyrau,1897.0,KAZ,,,,,
2019.0,persons,Batys Kazakhstan,1880.0,KAZ,,,,,
2019.0,persons,Karagandy,1251.0,KAZ,,,,,
2019.0,persons,Kostanay,0.0,KAZ,,,,,
2019.0,persons,Kyzylorda,343.0,KAZ,,,,,
2019.0,persons,Mangistau,216.0,KAZ,,,,,
2019.0,persons,Pavlodar,985.0,KAZ,,,,,
2019.0,persons,Soltustik Kazakhstan,1383.0,KAZ,,,,,
2019.0,persons,Turkistan,303.0,KAZ,,,,,
2019.0,persons,Shygys Kazakhstan,2114.0,KAZ,,,,,
2019.0,persons,Nur-Sultan city,5278.0,KAZ,,,,,
2019.0,persons,Almaty city,49589.0,KAZ,,,,,
2019.0,persons,Shymkent city,124.0,KAZ,,,,,
2020.0,persons,,24441.0,KAZ,,,,,
2020.0,persons,Akmola,793.0,KAZ,,,,,
2020.0,persons,Aktobe,1424.0,KAZ,,,,,
2020.0,persons,Almaty,2763.0,KAZ,,,,,
2020.0,persons,Atyrau,3572.0,KAZ,,,,,
2020.0,persons,Batys Kazakhstan,1734.0,KAZ,,,,,
2020.0,persons,Zhambyl,3.0,KAZ,,,,,
2020.0,persons,Karagandy,1139.0,KAZ,,,,,
2020.0,persons,Kostanay,0.0,KAZ,,,,,
2020.0,persons,Kyzylorda,743.0,KAZ,,,,,
2020.0,persons,Mangistau,706.0,KAZ,,,,,
2020.0,persons,Pavlodar,901.0,KAZ,,,,,
2020.0,persons,Soltustik Kazakhstan,991.0,KAZ,,,,,
2020.0,persons,Turkistan,557.0,KAZ,,,,,
2020.0,persons,Shygys Kazakhstan,2060.0,KAZ,,,,,
2020.0,persons,Nur-Sultan city,5723.0,KAZ,,,,,
2020.0,persons,Almaty city,17.0,KAZ,,,,,
2020.0,persons,Shymkent city,1315.0,KAZ,,,,,
2021.0,persons,,25343.0,KAZ,,,,,
2021.0,persons,Akmola,872.0,KAZ,,,,,
2021.0,persons,Aktobe,1629.0,KAZ,,,,,
2021.0,persons,Almaty,2163.0,KAZ,,,,,
2021.0,persons,Atyrau,6007.0,KAZ,,,,,
2021.0,persons,Batys Kazakhstan,1796.0,KAZ,,,,,
2021.0,persons,Zhambyl,3.0,KAZ,,,,,
2021.0,persons,Karagandy,1555.0,KAZ,,,,,
2021.0,persons,Kostanay,17.0,KAZ,,,,,
2021.0,persons,Kyzylorda,1295.0,KAZ,,,,,
2021.0,persons,Mangistau,621.0,KAZ,,,,,
2021.0,persons,Pavlodar,314.0,KAZ,,,,,
2021.0,persons,Soltustik Kazakhstan,678.0,KAZ,,,,,
2021.0,persons,Turkistan,259.0,KAZ,,,,,
2021.0,persons,Shygys Kazakhstan,2134.0,KAZ,,,,,
2021.0,persons,Nur-Sultan city,4424.0,KAZ,,,,,
2021.0,persons,Almaty city,17.0,KAZ,,,,,
2021.0,persons,Shymkent city,1559.0,KAZ,,,,,
,,,,UZB,01_101_,Total,True,2000.0,13.8
,,,,UZB,01_101_,Total,True,2001.0,14.0
,,,,UZB,01_101_,Total,True,2002.0,14.3
,,,,UZB,01_101_,Total,True,2003.0,14.3
,,,,UZB,01_101_,Total,True,2004.0,14.4
,,,,UZB,01_101_,Total,True,2005.0,14.5
,,,,UZB,01_101_,Total,True,2006.0,14.6
,,,,UZB,01_101_,Total,True,2007.0,14.6
,,,,UZB,01_101_,Total,True,2008.0,14.8
,,,,UZB,01_101_,Total,True,2009.0,14.9
,,,,UZB,01_101_,Total,True,2010.0,15.0
,,,,UZB,01_101_,Total,True,2011.0,15.0
,,,,UZB,01_101_,Total,True,2012.0,15.0
,,,,UZB,01_101_,Total,True,2013.0,15.1
,,,,UZB,01_101_,Total,True,2014.0,15.2
,,,,UZB,01_101_,Total,True,2015.0,15.2
,,,,UZB,01_101_,Total,True,2016.0,15.4
,,,,UZB,01_101_,Total,True,2017.0,15.7
,,,,UZB,01_101_,Total,True,2018.0,15.8
,,,,UZB,01_101_,Total,True,2019.0,16.0
,,,,UZB,01_101_,Total,True,2020.0,16.0
,,,,UZB,01_101_,Total,True,2021.0,18.2
,,,,UZB,11_102_,city,True,2000.0,14.6
,,,,UZB,11_102_,city,True,2001.0,14.9
,,,,UZB,11_102_,city,True,2002.0,15.0
,,,,UZB,11_102_,city,True,2003.0,14.9
,,,,UZB,11_102_,city,True,2004.0,15.1
,,,,UZB,11_102_,city,True,2005.0,15.1
,,,,UZB,11_102_,city,True,2006.0,15.3
,,,,UZB,11_102_,city,True,2007.0,15.3
,,,,UZB,11_102_,city,True,2008.0,14.8
,,,,UZB,11_102_,city,True,2009.0,15.1
,,,,UZB,11_102_,city,True,2010.0,15.4
,,,,UZB,11_102_,city,True,2011.0,15.4
,,,,UZB,11_102_,city,True,2012.0,15.4
,,,,UZB,11_102_,city,True,2013.0,15.3
,,,,UZB,11_102_,city,True,2014.0,15.4
,,,,UZB,11_102_,city,True,2015.0,15.4
,,,,UZB,11_102_,city,True,2016.0,15.4
,,,,UZB,11_102_,city,True,2017.0,15.8
,,,,UZB,11_102_,city,True,2018.0,16.0
,,,,UZB,11_102_,city,True,2019.0,16.1
,,,,UZB,11_102_,city,True,2020.0,16.1
,,,,UZB,11_102_,city,True,2021.0,18.0
,,,,UZB,11_103_,village,True,2000.0,13.3
,,,,UZB,11_103_,village,True,2001.0,13.5
,,,,UZB,11_103_,village,True,2002.0,13.8
,,,,UZB,11_103_,village,True,2003.0,13.9
,,,,UZB,11_103_,village,True,2004.0,14.1
,,,,UZB,11_103_,village,True,2005.0,14.2
,,,,UZB,11_103_,village,True,2006.0,14.2
,,,,UZB,11_103_,village,True,2007.0,14.3
,,,,UZB,11_103_,village,True,2008.0,14.9
,,,,UZB,11_103_,village,True,2009.0,14.6
,,,,UZB,11_103_,village,True,2010.0,14.5
,,,,UZB,11_103_,village,True,2011.0,14.5
,,,,UZB,11_103_,village,True,2012.0,14.5
,,,,UZB,11_103_,village,True,2013.0,14.9
,,,,UZB,11_103_,village,True,2014.0,14.9
,,,,UZB,11_103_,village,True,2015.0,15.0
,,,,UZB,11_103_,village,True,2016.0,15.4
,,,,UZB,11_103_,village,True,2017.0,15.5
,,,,UZB,11_103_,village,True,2018.0,15.7
,,,,UZB,11_103_,village,True,2019.0,15.9
,,,,UZB,11_103_,village,True,2020.0,16.0
,,,,UZB,11_103_,village,True,2021.0,18.5
