Year,UNIT_MEASURE,Regions,Value,M49_country_code,Unit multiplier,SERIES,COMMENT_TS,unique_id,col_caption_name,col_caption_name1_empty,year,value
2011.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,486.1,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1386.9,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Nur-Sultan city,637.6,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Almaty city,1033.1,KAZ,,,,,,,,
2012.0,"percent, base year 2010",,11.1,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Akmola,14.1,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Aktobe,7.6,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Almaty,16.5,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Atyrau,5.2,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Batys Kazakhstan,4.8,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Zhambyl,13.3,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Karagandy,30.3,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Kostanay,9.0,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Kyzylorda,2.3,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Mangistau,3.4,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Ontustik Kazakhstan,20.7,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Pavlodar,25.3,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Soltustik Kazakhstan,8.5,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Shygys Kazakhstan,24.2,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Nur-Sultan city,4.2,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Almaty city,4.8,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,,1100.9,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Akmola,831.4,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Aktobe,877.3,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Almaty,673.4,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Atyrau,1834.8,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,597.6,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Zhambyl,468.4,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Karagandy,3028.8,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Kostanay,634.3,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Kyzylorda,201.7,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Mangistau,613.0,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,697.7,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Pavlodar,2830.3,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,502.0,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1770.5,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Nur-Sultan city,826.1,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Almaty city,1043.9,KAZ,,,,,,,,
2013.0,"percent, base year 2010",,10.8,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Akmola,13.4,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Aktobe,7.9,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Almaty,15.2,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Atyrau,5.2,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Batys Kazakhstan,5.6,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Zhambyl,13.9,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Karagandy,28.1,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Kostanay,8.8,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Kyzylorda,2.6,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Mangistau,3.5,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Ontustik Kazakhstan,20.1,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Pavlodar,25.2,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Soltustik Kazakhstan,8.2,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Shygys Kazakhstan,24.1,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Nur-Sultan city,4.1,KAZ,,,,,,,,
2013.0,"percent, base year 2010",Almaty city,4.6,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,,1117.3,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Akmola,830.6,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Aktobe,942.2,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Almaty,675.3,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Atyrau,1869.1,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,712.5,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Zhambyl,501.1,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Karagandy,3007.0,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Kostanay,685.2,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Kyzylorda,232.1,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Mangistau,650.7,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,684.3,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Pavlodar,2814.3,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,528.0,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1889.2,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Nur-Sultan city,856.8,KAZ,,,,,,,,
2013.0,tenge per US dollars in 2010 prices,Almaty city,1107.5,KAZ,,,,,,,,
2014.0,"percent, base year 2010",,10.5,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Akmola,14.0,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Aktobe,7.6,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Almaty,15.0,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Atyrau,5.3,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Batys Kazakhstan,5.3,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Zhambyl,14.2,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Karagandy,26.2,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Kostanay,9.4,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Kyzylorda,2.9,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Mangistau,4.0,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Ontustik Kazakhstan,20.2,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Pavlodar,24.1,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Soltustik Kazakhstan,7.8,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Shygys Kazakhstan,23.8,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Nur-Sultan city,3.6,KAZ,,,,,,,,
2014.0,"percent, base year 2010",Almaty city,4.3,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,,1118.4,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Akmola,902.7,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Aktobe,925.0,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Almaty,694.6,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Atyrau,1903.3,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,710.8,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Zhambyl,506.1,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Karagandy,2878.9,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Kostanay,744.9,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Kyzylorda,250.8,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Mangistau,745.4,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,689.9,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Pavlodar,2707.9,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,534.8,KAZ,,,,,,,,
2014.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1913.2,KAZ,,,,,,,,
