Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,210.0,KAZ
2011,Percent,21.0,KAZ
2012,Percent,23.9,KAZ
2013,Percent,26.5,KAZ
2014,Percent,27.7,KAZ
2015,Percent,25.9,KAZ
2016,Percent,23.9,KAZ
2017,Percent,25.8,KAZ
2018,Percent,26.7,KAZ
2019,Percent,33.9,KAZ
2020,Percent,36.0,KAZ
2021,Percent,1.1,KAZ
