Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,,576.9,KGZ
2011,,587.5,KGZ
2012,,526.0,KGZ
2013,,561.9,KGZ
2014,,665.9,KGZ
2015,,810.1,KGZ
2016,,934.5,KGZ
2017,,921.5,KGZ
2018,,962.4,KGZ
2019,,798.7,KGZ
2020,,588.7,KGZ
2021,,689.0,KGZ
2010,Expenditure on Pollution control,39.2,KGZ
2011,Expenditure on Pollution control,41.2,KGZ
2012,Expenditure on Pollution control,28.2,KGZ
2013,Expenditure on Pollution control,22.4,KGZ
2014,Expenditure on Pollution control,56.2,KGZ
2015,Expenditure on Pollution control,71.5,KGZ
2016,Expenditure on Pollution control,60.4,KGZ
2017,Expenditure on Pollution control,52.7,KGZ
2018,Expenditure on Pollution control,64.1,KGZ
2019,Expenditure on Pollution control,72.2,KGZ
2020,Expenditure on Pollution control,62.2,KGZ
2021,Expenditure on Pollution control,94.1,KGZ
2010,Expenditure on Nature parks and reserves,69.1,KGZ
2011,Expenditure on Nature parks and reserves,68.5,KGZ
2012,Expenditure on Nature parks and reserves,73.2,KGZ
2013,Expenditure on Nature parks and reserves,80.9,KGZ
2014,Expenditure on Nature parks and reserves,93.3,KGZ
2015,Expenditure on Nature parks and reserves,114.1,KGZ
2016,Expenditure on Nature parks and reserves,145.8,KGZ
2017,Expenditure on Nature parks and reserves,131.7,KGZ
2018,Expenditure on Nature parks and reserves,136.5,KGZ
2019,Expenditure on Nature parks and reserves,136.9,KGZ
2020,Expenditure on Nature parks and reserves,99.4,KGZ
2021,Expenditure on Nature parks and reserves,147.1,KGZ
2010,Expenditure on Animal protection,3.6,KGZ
2011,Expenditure on Animal protection,6.8,KGZ
2012,Expenditure on Animal protection,4.9,KGZ
2013,Expenditure on Animal protection,6.5,KGZ
2014,Expenditure on Animal protection,8.4,KGZ
2015,Expenditure on Animal protection,9.4,KGZ
2016,Expenditure on Animal protection,10.4,KGZ
2017,Expenditure on Animal protection,9.8,KGZ
2018,Expenditure on Animal protection,10.4,KGZ
2019,Expenditure on Animal protection,12.3,KGZ
2020,Expenditure on Animal protection,6.1,KGZ
2021,Expenditure on Animal protection,10.1,KGZ
2010,Expenditure on Plant protection,1.4,KGZ
2011,Expenditure on Plant protection,1.3,KGZ
2012,Expenditure on Plant protection,1.3,KGZ
2013,Expenditure on Plant protection,1.2,KGZ
