Year,UNIT_MEASURE,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2019.0,Percent,0.63,KAZ,,,,,
,,,UZB,12_101_,Total,True,2000.0,15.0
,,,UZB,12_101_,Total,True,2001.0,17.0
,,,UZB,12_101_,Total,True,2002.0,19.0
,,,UZB,12_101_,Total,True,2003.0,24.0
,,,UZB,12_101_,Total,True,2004.0,27.0
,,,UZB,12_101_,Total,True,2005.0,29.0
,,,UZB,12_101_,Total,True,2006.0,29.0
,,,UZB,12_101_,Total,True,2007.0,35.0
,,,UZB,12_101_,Total,True,2008.0,37.0
,,,UZB,12_101_,Total,True,2009.0,44.0
,,,UZB,12_101_,Total,True,2010.0,37.0
,,,UZB,12_101_,Total,True,2011.0,53.0
,,,UZB,12_101_,Total,True,2012.0,56.0
,,,UZB,12_101_,Total,True,2013.0,63.0
,,,UZB,12_101_,Total,True,2014.0,73.0
,,,UZB,12_101_,Total,True,2015.0,73.0
,,,UZB,12_101_,Total,True,2016.0,80.0
,,,UZB,12_101_,Total,True,2017.0,87.0
,,,UZB,12_101_,Total,True,2018.0,101.0
,,,UZB,12_101_,Total,True,2019.0,101.0
,,,UZB,12_101_,Total,True,2020.0,115.0
,,,UZB,12_101_,Total,True,2021.0,0.0
