Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,36.5,KAZ
2011,Percent,51.6,KAZ
2012,Percent,40.2,KAZ
2013,Percent,29.4,KAZ
2014,Percent,36.7,KAZ
2015,Percent,40.1,KAZ
2016,Percent,43.4,KAZ
2017,Percent,41.6,KAZ
2018,Percent,42.9,KAZ
2019,Percent,41.2,KAZ
2020,Percent,41.4,KAZ
