Year,UNIT_MEASURE,Value,M49_country_code
2016,Percent,40.9,KAZ
2017,Percent,20.0,KAZ
2018,Percent,13.3,KAZ
2019,Percent,4.9,KAZ
2020,Percent,3.6,KAZ
2021,Percent,13.7,KAZ
