Year,UNIT_MEASURE,Value,M49_country_code
2012,Percent,1.0,KAZ
2013,Percent,1.58,KAZ
2014,Percent,2.21,KAZ
2015,Percent,1.8,KAZ
2016,Percent,2.6,KAZ
2017,Percent,9.0,KAZ
2018,Percent,11.51,KAZ
2019,Percent,14.9,KAZ
