Year,Показатель,Территория,Местность,Образование главы домохозяйства,Квинтиль индекса благосостояния,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,городская,,,99.6,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,сельская,,,88.7,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Дошкольное или нет/Начальное,,83.0,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Основное общее,,93.2,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Среднее общее,,89.7,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Профессиональное начальное/среднее,,94.4,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Высшее,,97.2,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Беднейший,76.9,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Второй,92.7,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Средний,94.8,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Четвертый,98.7,KGZ,,,,,
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Богатейший,100.0,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,,96.3,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Баткенская область,,,,99.6,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Джалал-Абадская область,,,,93.4,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Иссык-Кульская область,,,,99.1,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Нарынская область,,,,99.4,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Ошская область,,,,99.1,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Таласская область,,,,99.8,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Чуйская область,,,,91.6,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",г. Бишкек,,,,95.7,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",г. Ош,,,,96.8,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,городская,,,96.1,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,сельская,,,96.5,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Дошкольное или нет/Начальное,,92.1,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Основное общее,,94.7,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Среднее общее,,97.4,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Профессиональное начальное/среднее,,96.6,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Высшее,,95.1,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Беднейший,97.2,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Второй,95.9,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Средний,96.5,KGZ,,,,,
2018.0,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Четвертый,96.4,KGZ,,,,,
