Year,UNIT_MEASURE,Regions,Value,M49_country_code
2015,Percent,,9.1,KAZ
2016,Percent,,10.0,KAZ
2017,Percent,,15.0,KAZ
2017,Percent,Akmola,23.0,KAZ
2017,Percent,Aktobe,13.0,KAZ
2017,Percent,Almaty,10.9,KAZ
2017,Percent,Atyrau,7.9,KAZ
2017,Percent,Batys Kazakhstan,18.1,KAZ
2017,Percent,Zhambyl,21.3,KAZ
2017,Percent,Karagandy,34.4,KAZ
2017,Percent,Kostanay,26.9,KAZ
2017,Percent,Kyzylorda,10.1,KAZ
2017,Percent,Mangistau,10.0,KAZ
2017,Percent,Ontustik Kazakhstan,9.8,KAZ
2017,Percent,Pavlodar,24.4,KAZ
2017,Percent,Soltustik Kazakhstan,26.9,KAZ
2017,Percent,Shygys Kazakhstan,20.6,KAZ
2017,Percent,Nur-Sultan city,20.0,KAZ
2017,Percent,Almaty city,12.0,KAZ
2018,Percent,,20.1,KAZ
2018,Percent,Akmola,20.3,KAZ
2018,Percent,Aktobe,20.5,KAZ
2018,Percent,Almaty,10.1,KAZ
2018,Percent,Atyrau,20.2,KAZ
2018,Percent,Batys Kazakhstan,22.1,KAZ
2018,Percent,Zhambyl,29.9,KAZ
2018,Percent,Karagandy,31.4,KAZ
2018,Percent,Kostanay,20.1,KAZ
2018,Percent,Kyzylorda,21.0,KAZ
2018,Percent,Mangistau,20.2,KAZ
2018,Percent,Pavlodar,73.4,KAZ
2018,Percent,Soltustik Kazakhstan,16.0,KAZ
2018,Percent,Turkistan,9.0,KAZ
2018,Percent,Shygys Kazakhstan,20.5,KAZ
2018,Percent,Nur-Sultan city,10.3,KAZ
2018,Percent,Almaty city,41.2,KAZ
2018,Percent,Shymkent city,9.1,KAZ
2019,Percent,,28.7,KAZ
2019,Percent,Akmola,51.6,KAZ
2019,Percent,Aktobe,35.4,KAZ
2019,Percent,Almaty,16.7,KAZ
2019,Percent,Atyrau,24.4,KAZ
2019,Percent,Batys Kazakhstan,39.3,KAZ
2019,Percent,Zhambyl,37.3,KAZ
2019,Percent,Karagandy,37.5,KAZ
2019,Percent,Kostanay,47.6,KAZ
2019,Percent,Kyzylorda,18.5,KAZ
2019,Percent,Mangistau,33.0,KAZ
2019,Percent,Pavlodar,89.2,KAZ
2019,Percent,Soltustik Kazakhstan,65.4,KAZ
2019,Percent,Turkistan,12.7,KAZ
2019,Percent,Shygys Kazakhstan,33.3,KAZ
2019,Percent,Nur-Sultan city,32.9,KAZ
2019,Percent,Almaty city,30.8,KAZ
2019,Percent,Shymkent city,23.9,KAZ
2020,Percent,,53.3,KAZ
2020,Percent,Akmola,63.5,KAZ
2020,Percent,Aktobe,47.7,KAZ
2020,Percent,Almaty,58.6,KAZ
2020,Percent,Atyrau,25.7,KAZ
2020,Percent,Batys Kazakhstan,39.7,KAZ
2020,Percent,Zhambyl,49.3,KAZ
2020,Percent,Karagandy,51.6,KAZ
2020,Percent,Kostanay,63.9,KAZ
2020,Percent,Kyzylorda,62.1,KAZ
2020,Percent,Mangistau,38.2,KAZ
2020,Percent,Pavlodar,97.1,KAZ
2020,Percent,Soltustik Kazakhstan,68.1,KAZ
2020,Percent,Turkistan,28.5,KAZ
2020,Percent,Shygys Kazakhstan,43.8,KAZ
2020,Percent,Nur-Sultan city,66.3,KAZ
2020,Percent,Almaty city,83.1,KAZ
2020,Percent,Shymkent city,71.6,KAZ
