Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,Unit multiplier,COMPOSITE_BREAKDOWN,unique_id,col_caption_name,year,value
2010.0,mln.people,Passengers transported by all means of transport,Almaty city,2592.9,KAZ,,,,,,
2010.0,tons,transported by air,,28869.7,KAZ,,,,,,
2010.0,tons,transported by air,Karagandy,9.2,KAZ,,,,,,
2010.0,tons,transported by air,Ontustik Kazakhstan,737.0,KAZ,,,,,,
2010.0,tons,transported by air,Shygys Kazakhstan,32.5,KAZ,,,,,,
2010.0,tons,transported by air,Almaty city,28091.0,KAZ,,,,,,
2010.0,thousand people,passengers transported by air,,3379.2,KAZ,,,,,,
2010.0,thousand people,passengers transported by air,Almaty,29.3,KAZ,,,,,,
2010.0,thousand people,passengers transported by air,Atyrau,4.7,KAZ,,,,,,
2010.0,thousand people,passengers transported by air,Karagandy,18.8,KAZ,,,,,,
2010.0,thousand people,passengers transported by air,Ontustik Kazakhstan,668.5,KAZ,,,,,,
2010.0,thousand people,passengers transported by air,Pavlodar,4.0,KAZ,,,,,,
2010.0,thousand people,passengers transported by air,Nur-Sultan city,16.1,KAZ,,,,,,
2010.0,thousand people,passengers transported by air,Almaty city,14.8,KAZ,,,,,,
2010.0,thousand people,passengers transported by air,Shymkent city,2623.1,KAZ,,,,,,
2010.0,millions tonnes,performance indicators of pipeline transport,,194.0,KAZ,,,,,,
2010.0,millions tonnes,performance indicators of pipeline transport,Atyrau,66.3,KAZ,,,,,,
2010.0,millions tonnes,performance indicators of pipeline transport,Pavlodar,20.2,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1R,,4.7,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1R,Mangistau,4.7,KAZ,,,,,,
2011.0,millions tonnes,Cargo transported by all means of transport,,2974.9,KAZ,,,,,,
2011.0,millions tonnes,Pipeline,,214.1,KAZ,,,,,,
2011.0,millions tonnes,Railway,,279.7,KAZ,,,,,,
2011.0,millions tonnes,Automobile,,2475.5,KAZ,,,,,,
2011.0,millions tonnes,Air,,0.3,KAZ,,,,,,
2011.0,millions tonnes,Inland water еransport,,1.1,KAZ,,,,,,
2011.0,millions tonnes,nautical,,4.6,KAZ,,,,,,
2011.0,millions tonnes,,Akmola,112.4,KAZ,,,,,,
2011.0,millions tonnes,,Aktobe,54.5,KAZ,,,,,,
2011.0,millions tonnes,,Almaty,142.7,KAZ,,,,,,
2011.0,millions tonnes,,Atyrau,139.6,KAZ,,,,,,
2011.0,millions tonnes,,Batys Kazakhstan,34.0,KAZ,,,,,,
2011.0,millions tonnes,,Zhambyl,70.5,KAZ,,,,,,
2011.0,millions tonnes,,Karagandy,551.1,KAZ,,,,,,
2011.0,millions tonnes,,Kostanay,268.0,KAZ,,,,,,
2011.0,millions tonnes,,Kyzylorda,95.5,KAZ,,,,,,
2011.0,millions tonnes,,Mangistau,186.6,KAZ,,,,,,
2011.0,millions tonnes,,Ontustik Kazakhstan,106.5,KAZ,,,,,,
2011.0,millions tonnes,,Pavlodar,97.0,KAZ,,,,,,
2011.0,millions tonnes,,Soltustik Kazakhstan,46.1,KAZ,,,,,,
2011.0,millions tonnes,,Shygys Kazakhstan,418.2,KAZ,,,,,,
2011.0,millions tonnes,,Nur-Sultan city,97.2,KAZ,,,,,,
2011.0,millions tonnes,,Almaty city,155.6,KAZ,,,,,,
2011.0,mln.people,Passengers transported by all means of transport,,16647.2,KAZ,,,,,,
2011.0,mln.people,Railway transport,,20.5,KAZ,,,,,,
2011.0,mln.people,Automobile,,16544.7,KAZ,,,,,,
2011.0,mln.people,Inland water еransport,,0.1,KAZ,,,,,,
2011.0,mln.people,Air,,4.1,KAZ,,,,,,
2011.0,mln.people,City electric transport,,77.0,KAZ,,,,,,
2011.0,mln.people,,Akmola,1385.8,KAZ,,,,,,
2011.0,mln.people,,Aktobe,199.3,KAZ,,,,,,
2011.0,mln.people,,Almaty,550.9,KAZ,,,,,,
2011.0,mln.people,,Atyrau,126.9,KAZ,,,,,,
2011.0,mln.people,,Batys Kazakhstan,364.8,KAZ,,,,,,
2011.0,mln.people,,Zhambyl,745.8,KAZ,,,,,,
2011.0,mln.people,,Karagandy,1993.3,KAZ,,,,,,
2011.0,mln.people,,Kostanay,1436.5,KAZ,,,,,,
2011.0,mln.people,,Kyzylorda,193.2,KAZ,,,,,,
2011.0,mln.people,,Mangistau,73.8,KAZ,,,,,,
2011.0,mln.people,,Ontustik Kazakhstan,1800.5,KAZ,,,,,,
2011.0,mln.people,,Pavlodar,1044.1,KAZ,,,,,,
2011.0,mln.people,,Soltustik Kazakhstan,453.9,KAZ,,,,,,
2011.0,mln.people,,Shygys Kazakhstan,1419.3,KAZ,,,,,,
2011.0,mln.people,,Nur-Sultan city,1647.9,KAZ,,,,,,
2011.0,mln.people,,Almaty city,3190.6,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,,2475.5,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Akmola,112.4,KAZ,,,,,,
2011.0,millions tonnes,_L_KZ_090102_1J,Aktobe,54.5,KAZ,,,,,,
