Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,thousands hectares,,5640.9,KAZ,,,,,
2010.0,thousands hectares,Akmola,86.6,KAZ,,,,,
2010.0,thousands hectares,Almaty,1701.6,KAZ,,,,,
2010.0,thousands hectares,Zhambyl,182.6,KAZ,,,,,
2010.0,thousands hectares,Karagandy,175.7,KAZ,,,,,
2010.0,thousands hectares,Pavlodar,68.5,KAZ,,,,,
2010.0,thousands hectares,Soltustik Kazakhstan,11.1,KAZ,,,,,
2010.0,thousands hectares,Turkistan,379.6,KAZ,,,,,
2010.0,thousands hectares,Shygys Kazakhstan,3035.2,KAZ,,,,,
2011.0,thousands hectares,,5646.8,KAZ,,,,,
2011.0,thousands hectares,Akmola,86.6,KAZ,,,,,
2011.0,thousands hectares,Almaty,1707.4,KAZ,,,,,
2011.0,thousands hectares,Zhambyl,182.6,KAZ,,,,,
2011.0,thousands hectares,Karagandy,175.7,KAZ,,,,,
2011.0,thousands hectares,Pavlodar,68.5,KAZ,,,,,
2011.0,thousands hectares,Soltustik Kazakhstan,11.1,KAZ,,,,,
2011.0,thousands hectares,Turkistan,379.6,KAZ,,,,,
2011.0,thousands hectares,Shygys Kazakhstan,3034.9,KAZ,,,,,
2012.0,thousands hectares,,5663.6,KAZ,,,,,
2012.0,thousands hectares,Akmola,74.5,KAZ,,,,,
2012.0,thousands hectares,Almaty,1707.5,KAZ,,,,,
2012.0,thousands hectares,Zhambyl,182.6,KAZ,,,,,
2012.0,thousands hectares,Karagandy,153.8,KAZ,,,,,
2012.0,thousands hectares,Pavlodar,68.5,KAZ,,,,,
2012.0,thousands hectares,Soltustik Kazakhstan,11.1,KAZ,,,,,
2012.0,thousands hectares,Turkistan,431.8,KAZ,,,,,
2012.0,thousands hectares,Shygys Kazakhstan,3033.7,KAZ,,,,,
2013.0,thousands hectares,,5669.2,KAZ,,,,,
2013.0,thousands hectares,Akmola,74.5,KAZ,,,,,
2013.0,thousands hectares,Almaty,1707.5,KAZ,,,,,
2013.0,thousands hectares,Zhambyl,182.6,KAZ,,,,,
2013.0,thousands hectares,Karagandy,153.8,KAZ,,,,,
