Year,Value,M49_country_code
2013,105,KGZ
2014,123,KGZ
2015,393,KGZ
2016,384,KGZ
2017,457,KGZ
2018,359,KGZ
2019,494,KGZ
2020,173,KGZ
2021,269,KGZ
