Year,UNIT_MEASURE,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,кг СО2-экв/межд.доллар,0.92,KAZ,,,,,
2011.0,кг СО2-экв/межд.доллар,0.84,KAZ,,,,,
2012.0,кг СО2-экв/межд.доллар,0.82,KAZ,,,,,
2013.0,кг СО2-экв/межд.доллар,0.8,KAZ,,,,,
2014.0,кг СО2-экв/межд.доллар,0.84,KAZ,,,,,
2015.0,кг СО2-экв/межд.доллар,0.83,KAZ,,,,,
2016.0,кг СО2-экв/межд.доллар,0.83,KAZ,,,,,
2017.0,кг СО2-экв/межд.доллар,0.85,KAZ,,,,,
2018.0,кг СО2-экв/межд.доллар,0.86,KAZ,,,,,
2019.0,кг СО2-экв/межд.доллар,0.84,KAZ,,,,,
,,,UZB,01_101_,Total,True,2000.0,1.5
,,,UZB,01_101_,Total,True,2001.0,1.5
,,,UZB,01_101_,Total,True,2002.0,1.5
,,,UZB,01_101_,Total,True,2003.0,1.3
,,,UZB,01_101_,Total,True,2004.0,1.2
,,,UZB,01_101_,Total,True,2005.0,1.1
,,,UZB,01_101_,Total,True,2006.0,1.0
,,,UZB,01_101_,Total,True,2007.0,0.9
,,,UZB,01_101_,Total,True,2008.0,0.9
,,,UZB,01_101_,Total,True,2009.0,0.8
,,,UZB,01_101_,Total,True,2010.0,0.7
,,,UZB,01_101_,Total,True,2011.0,0.7
,,,UZB,01_101_,Total,True,2012.0,0.7
,,,UZB,01_101_,Total,True,2013.0,0.5
,,,UZB,01_101_,Total,True,2014.0,0.5
,,,UZB,01_101_,Total,True,2015.0,0.5
,,,UZB,01_101_,Total,True,2016.0,0.4
,,,UZB,01_101_,Total,True,2017.0,0.5
,,,UZB,01_101_,Total,True,2018.0,0.0
,,,UZB,01_101_,Total,True,2019.0,0.0
,,,UZB,01_101_,Total,True,2020.0,0.0
,,,UZB,01_101_,Total,True,2021.0,0.0
