Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,COMPOSITE_BREAKDOWN
2012,thousands,_L_KZ_170602_1B,Mangistau,18.1,KAZ,
2012,thousands,_L_KZ_170602_1B,Ontustik Kazakhstan,24.9,KAZ,
2012,thousands,_L_KZ_170602_1B,Pavlodar,45.1,KAZ,
2012,thousands,_L_KZ_170602_1B,Soltustik Kazakhstan,27.4,KAZ,
2012,thousands,_L_KZ_170602_1B,Shygys Kazakhstan,71.8,KAZ,
2012,thousands,_L_KZ_170602_1B,Nur-Sultan city,75.2,KAZ,
2012,thousands,_L_KZ_170602_1B,Almaty city,195.9,KAZ,
2012,thousands,_L_KZ_170602_1A,Akmola,6.3,KAZ,
2012,thousands,_L_KZ_170602_1A,Aktobe,2.1,KAZ,
2012,thousands,_L_KZ_170602_1A,Almaty,5.6,KAZ,
2012,thousands,_L_KZ_170602_1A,Atyrau,6.9,KAZ,
2012,thousands,_L_KZ_170602_1A,Batys Kazakhstan,2.0,KAZ,
2012,thousands,_L_KZ_170602_1A,Zhambyl,1.4,KAZ,
2012,thousands,_L_KZ_170602_1A,Karagandy,16.4,KAZ,
2012,thousands,_L_KZ_170602_1A,Kostanay,10.9,KAZ,
2012,thousands,_L_KZ_170602_1A,Kyzylorda,2.4,KAZ,
2012,thousands,_L_KZ_170602_1A,Mangistau,2.5,KAZ,
2012,thousands,_L_KZ_170602_1A,Ontustik Kazakhstan,4.8,KAZ,
2012,thousands,_L_KZ_170602_1A,Pavlodar,9.6,KAZ,
2012,thousands,_L_KZ_170602_1A,Soltustik Kazakhstan,1.3,KAZ,
2012,thousands,_L_KZ_170602_1A,Shygys Kazakhstan,8.0,KAZ,
2012,thousands,_L_KZ_170602_1A,Nur-Sultan city,11.8,KAZ,
2012,thousands,_L_KZ_170602_1A,Almaty city,243.6,KAZ,
2013,thousands,,,1958.8,KAZ,
2013,thousands,_L_KZ_170602_1C,,294.0,KAZ,
2013,thousands,_L_KZ_170602_1C,Akmola,20.9,KAZ,
2013,thousands,_L_KZ_170602_1C,Aktobe,15.8,KAZ,
2013,thousands,_L_KZ_170602_1C,Almaty,11.2,KAZ,
2013,thousands,_L_KZ_170602_1C,Atyrau,10.2,KAZ,
2013,thousands,_L_KZ_170602_1C,Batys Kazakhstan,10.1,KAZ,
2013,thousands,_L_KZ_170602_1C,Zhambyl,13.1,KAZ,
2013,thousands,_L_KZ_170602_1C,Karagandy,23.2,KAZ,
2013,thousands,_L_KZ_170602_1C,Kostanay,15.8,KAZ,
2013,thousands,_L_KZ_170602_1C,Kyzylorda,13.9,KAZ,
2013,thousands,_L_KZ_170602_1C,Mangistau,8.1,KAZ,
2013,thousands,_L_KZ_170602_1C,Ontustik Kazakhstan,0.9,KAZ,
2013,thousands,_L_KZ_170602_1C,Pavlodar,23.7,KAZ,
2013,thousands,_L_KZ_170602_1C,Soltustik Kazakhstan,24.5,KAZ,
2013,thousands,_L_KZ_170602_1C,Shygys Kazakhstan,22.4,KAZ,
2013,thousands,_L_KZ_170602_1C,Nur-Sultan city,18.0,KAZ,
2013,thousands,_L_KZ_170602_1C,Almaty city,62.3,KAZ,
2013,thousands,_L_KZ_170602_1B,,906.6,KAZ,
2013,thousands,_L_KZ_170602_1B,Akmola,41.4,KAZ,
2013,thousands,_L_KZ_170602_1B,Aktobe,40.5,KAZ,
2013,thousands,_L_KZ_170602_1B,Almaty,83.1,KAZ,
2013,thousands,_L_KZ_170602_1B,Atyrau,45.9,KAZ,
2013,thousands,_L_KZ_170602_1B,Batys Kazakhstan,25.8,KAZ,
2013,thousands,_L_KZ_170602_1B,Zhambyl,31.0,KAZ,
2013,thousands,_L_KZ_170602_1B,Karagandy,101.5,KAZ,
2013,thousands,_L_KZ_170602_1B,Kostanay,79.3,KAZ,
2013,thousands,_L_KZ_170602_1B,Kyzylorda,21.7,KAZ,
2013,thousands,_L_KZ_170602_1B,Mangistau,29.9,KAZ,
2013,thousands,_L_KZ_170602_1B,Ontustik Kazakhstan,1.0,KAZ,
2013,thousands,_L_KZ_170602_1B,Pavlodar,50.0,KAZ,
2013,thousands,_L_KZ_170602_1B,Soltustik Kazakhstan,33.8,KAZ,
2013,thousands,_L_KZ_170602_1B,Shygys Kazakhstan,66.4,KAZ,
2013,thousands,_L_KZ_170602_1B,Nur-Sultan city,79.0,KAZ,
2013,thousands,_L_KZ_170602_1B,Almaty city,176.2,KAZ,
2013,thousands,_L_KZ_170602_1A,Akmola,11.6,KAZ,
2013,thousands,_L_KZ_170602_1A,Aktobe,9.5,KAZ,
2013,thousands,_L_KZ_170602_1A,Almaty,12.1,KAZ,
2013,thousands,_L_KZ_170602_1A,Atyrau,11.4,KAZ,
2013,thousands,_L_KZ_170602_1A,Batys Kazakhstan,7.4,KAZ,
2013,thousands,_L_KZ_170602_1A,Zhambyl,9.9,KAZ,
2013,thousands,_L_KZ_170602_1A,Karagandy,36.3,KAZ,
2013,thousands,_L_KZ_170602_1A,Kostanay,5.6,KAZ,
2013,thousands,_L_KZ_170602_1A,Kyzylorda,5.1,KAZ,
2013,thousands,_L_KZ_170602_1A,Mangistau,11.1,KAZ,
2013,thousands,_L_KZ_170602_1A,Ontustik Kazakhstan,79.7,KAZ,
2013,thousands,_L_KZ_170602_1A,Pavlodar,17.7,KAZ,
2013,thousands,_L_KZ_170602_1A,Soltustik Kazakhstan,5.4,KAZ,
2013,thousands,_L_KZ_170602_1A,Shygys Kazakhstan,17.0,KAZ,
2013,thousands,_L_KZ_170602_1A,Nur-Sultan city,27.1,KAZ,
2013,thousands,_L_KZ_170602_1A,Almaty city,396.5,KAZ,
2014,thousands,,,2093.2,KAZ,
2014,thousands,_L_KZ_170602_1C,,264.2,KAZ,
2014,thousands,_L_KZ_170602_1C,Akmola,16.4,KAZ,
2014,thousands,_L_KZ_170602_1C,Aktobe,9.8,KAZ,
2014,thousands,_L_KZ_170602_1C,Almaty,12.4,KAZ,
2014,thousands,_L_KZ_170602_1C,Atyrau,7.1,KAZ,
2014,thousands,_L_KZ_170602_1C,Batys Kazakhstan,10.2,KAZ,
2014,thousands,_L_KZ_170602_1C,Zhambyl,12.9,KAZ,
2014,thousands,_L_KZ_170602_1C,Karagandy,15.6,KAZ,
2014,thousands,_L_KZ_170602_1C,Kostanay,15.6,KAZ,
2014,thousands,_L_KZ_170602_1C,Kyzylorda,11.7,KAZ,
2014,thousands,_L_KZ_170602_1C,Mangistau,5.3,KAZ,
2014,thousands,_L_KZ_170602_1C,Ontustik Kazakhstan,13.2,KAZ,
2014,thousands,_L_KZ_170602_1C,Pavlodar,15.6,KAZ,
2014,thousands,_L_KZ_170602_1C,Soltustik Kazakhstan,22.4,KAZ,
2014,thousands,_L_KZ_170602_1C,Shygys Kazakhstan,12.8,KAZ,
2014,thousands,_L_KZ_170602_1C,Nur-Sultan city,40.5,KAZ,
2014,thousands,_L_KZ_170602_1C,Almaty city,42.6,KAZ,
2014,thousands,_L_KZ_170602_1B,,881.4,KAZ,
2014,thousands,_L_KZ_170602_1B,Akmola,52.3,KAZ,
