Year,UNIT_MEASURE,Area,Sex,Regions,Value,M49_country_code,Reference area,Age,Degree of urbanisation,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,,,6.5,KAZ,,,,,,,,,
2010.0,Percent,urban,,,3.7,KAZ,,,,,,,,,
2010.0,Percent,rural,,,10.1,KAZ,,,,,,,,,
2010.0,Percent,,Male,,6.8,KAZ,,,,,,,,,
2010.0,Percent,,Female,,6.3,KAZ,,,,,,,,,
2010.0,Percent,,,Akmola,4.4,KAZ,,,,,,,,,
2010.0,Percent,,,Aktobe,6.0,KAZ,,,,,,,,,
2010.0,Percent,,,Almaty,6.6,KAZ,,,,,,,,,
2010.0,Percent,,,Atyrau,5.9,KAZ,,,,,,,,,
2010.0,Percent,,,Batys Kazakhstan,6.7,KAZ,,,,,,,,,
2010.0,Percent,,,Zhambyl,5.3,KAZ,,,,,,,,,
2010.0,Percent,,,Karagandy,3.8,KAZ,,,,,,,,,
2010.0,Percent,,,Kostanay,6.4,KAZ,,,,,,,,,
2010.0,Percent,,,Kyzylorda,6.7,KAZ,,,,,,,,,
2010.0,Percent,,,Mangistau,11.6,KAZ,,,,,,,,,
2010.0,Percent,,,Ontustik Kazakhstan,11.5,KAZ,,,,,,,,,
2010.0,Percent,,,Pavlodar,4.0,KAZ,,,,,,,,,
2010.0,Percent,,,Soltustik Kazakhstan,5.4,KAZ,,,,,,,,,
2010.0,Percent,,,Shygys Kazakhstan,8.4,KAZ,,,,,,,,,
2010.0,Percent,,,Nur-Sultan city,3.4,KAZ,,,,,,,,,
2010.0,Percent,,,Almaty city,2.6,KAZ,,,,,,,,,
2011.0,Percent,,,,5.5,KAZ,,,,,,,,,
2011.0,Percent,urban,,,2.5,KAZ,,,,,,,,,
2011.0,Percent,rural,,,9.1,KAZ,,,,,,,,,
2011.0,Percent,,Male,,5.7,KAZ,,,,,,,,,
2011.0,Percent,,Female,,5.3,KAZ,,,,,,,,,
2011.0,Percent,,,Akmola,6.2,KAZ,,,,,,,,,
2011.0,Percent,,,Aktobe,2.4,KAZ,,,,,,,,,
2011.0,Percent,,,Almaty,3.4,KAZ,,,,,,,,,
2011.0,Percent,,,Atyrau,5.2,KAZ,,,,,,,,,
2011.0,Percent,,,Batys Kazakhstan,4.8,KAZ,,,,,,,,,
2011.0,Percent,,,Zhambyl,5.1,KAZ,,,,,,,,,
2011.0,Percent,,,Karagandy,3.5,KAZ,,,,,,,,,
2011.0,Percent,,,Kostanay,4.6,KAZ,,,,,,,,,
2011.0,Percent,,,Kyzylorda,6.2,KAZ,,,,,,,,,
2011.0,Percent,,,Mangistau,10.4,KAZ,,,,,,,,,
2011.0,Percent,,,Ontustik Kazakhstan,10.4,KAZ,,,,,,,,,
2011.0,Percent,,,Pavlodar,4.5,KAZ,,,,,,,,,
2011.0,Percent,,,Soltustik Kazakhstan,9.6,KAZ,,,,,,,,,
2011.0,Percent,,,Shygys Kazakhstan,6.1,KAZ,,,,,,,,,
2011.0,Percent,,,Nur-Sultan city,1.7,KAZ,,,,,,,,,
2011.0,Percent,,,Almaty city,2.0,KAZ,,,,,,,,,
2012.0,Percent,,,,3.8,KAZ,,,,,,,,,
2012.0,Percent,urban,,,1.9,KAZ,,,,,,,,,
2012.0,Percent,rural,,,6.1,KAZ,,,,,,,,,
2012.0,Percent,,Male,,4.0,KAZ,,,,,,,,,
2012.0,Percent,,Female,,3.7,KAZ,,,,,,,,,
2012.0,Percent,,,Akmola,3.9,KAZ,,,,,,,,,
2012.0,Percent,,,Aktobe,2.4,KAZ,,,,,,,,,
2012.0,Percent,,,Almaty,3.2,KAZ,,,,,,,,,
2012.0,Percent,,,Atyrau,3.3,KAZ,,,,,,,,,
2012.0,Percent,,,Batys Kazakhstan,4.1,KAZ,,,,,,,,,
2012.0,Percent,,,Zhambyl,4.9,KAZ,,,,,,,,,
2012.0,Percent,,,Karagandy,2.8,KAZ,,,,,,,,,
2012.0,Percent,,,Kostanay,3.3,KAZ,,,,,,,,,
2012.0,Percent,,,Kyzylorda,3.8,KAZ,,,,,,,,,
2012.0,Percent,,,Mangistau,3.3,KAZ,,,,,,,,,
2012.0,Percent,,,Ontustik Kazakhstan,7.9,KAZ,,,,,,,,,
2012.0,Percent,,,Pavlodar,2.9,KAZ,,,,,,,,,
2012.0,Percent,,,Soltustik Kazakhstan,5.7,KAZ,,,,,,,,,
2012.0,Percent,,,Shygys Kazakhstan,3.4,KAZ,,,,,,,,,
2012.0,Percent,,,Nur-Sultan city,1.0,KAZ,,,,,,,,,
2012.0,Percent,,,Almaty city,0.4,KAZ,,,,,,,,,
2013.0,Percent,,,,2.9,KAZ,,,,,,,,,
2013.0,Percent,urban,,,1.3,KAZ,,,,,,,,,
2013.0,Percent,rural,,,4.9,KAZ,,,,,,,,,
2013.0,Percent,,Male,,3.1,KAZ,,,,,,,,,
2013.0,Percent,,Female,,2.7,KAZ,,,,,,,,,
2013.0,Percent,,,Akmola,3.9,KAZ,,,,,,,,,
2013.0,Percent,,,Aktobe,2.0,KAZ,,,,,,,,,
2013.0,Percent,,,Almaty,2.0,KAZ,,,,,,,,,
2013.0,Percent,,,Atyrau,3.3,KAZ,,,,,,,,,
2013.0,Percent,,,Batys Kazakhstan,3.7,KAZ,,,,,,,,,
2013.0,Percent,,,Zhambyl,3.4,KAZ,,,,,,,,,
2013.0,Percent,,,Karagandy,2.0,KAZ,,,,,,,,,
2013.0,Percent,,,Kostanay,2.6,KAZ,,,,,,,,,
2013.0,Percent,,,Kyzylorda,3.6,KAZ,,,,,,,,,
2013.0,Percent,,,Mangistau,2.6,KAZ,,,,,,,,,
2013.0,Percent,,,Ontustik Kazakhstan,5.9,KAZ,,,,,,,,,
2013.0,Percent,,,Pavlodar,1.5,KAZ,,,,,,,,,
2013.0,Percent,,,Soltustik Kazakhstan,4.8,KAZ,,,,,,,,,
2013.0,Percent,,,Shygys Kazakhstan,2.4,KAZ,,,,,,,,,
2013.0,Percent,,,Nur-Sultan city,0.5,KAZ,,,,,,,,,
2013.0,Percent,,,Almaty city,0.6,KAZ,,,,,,,,,
2014.0,Percent,,,,2.9,KAZ,,,,,,,,,
2014.0,Percent,urban,,,1.3,KAZ,,,,,,,,,
2014.0,Percent,rural,,,4.7,KAZ,,,,,,,,,
2014.0,Percent,,Male,,3.0,KAZ,,,,,,,,,
2014.0,Percent,,Female,,2.0,KAZ,,,,,,,,,
2014.0,Percent,,,Akmola,2.9,KAZ,,,,,,,,,
2014.0,Percent,,,Aktobe,1.8,KAZ,,,,,,,,,
2014.0,Percent,,,Almaty,2.5,KAZ,,,,,,,,,
2014.0,Percent,,,Atyrau,2.8,KAZ,,,,,,,,,
2014.0,Percent,,,Batys Kazakhstan,2.9,KAZ,,,,,,,,,
2014.0,Percent,,,Zhambyl,3.1,KAZ,,,,,,,,,
2014.0,Percent,,,Karagandy,1.4,KAZ,,,,,,,,,
2014.0,Percent,,,Kostanay,2.5,KAZ,,,,,,,,,
2014.0,Percent,,,Kyzylorda,3.2,KAZ,,,,,,,,,
2014.0,Percent,,,Mangistau,3.0,KAZ,,,,,,,,,
2014.0,Percent,,,Ontustik Kazakhstan,6.1,KAZ,,,,,,,,,
2014.0,Percent,,,Pavlodar,1.5,KAZ,,,,,,,,,
2014.0,Percent,,,Soltustik Kazakhstan,4.2,KAZ,,,,,,,,,
2014.0,Percent,,,Turkistan,7.7,KAZ,,,,,,,,,
