Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,19.7,KAZ,,,,,
2010.0,Percent,Akmola,8.8,KAZ,,,,,
2010.0,Percent,Almaty,32.8,KAZ,,,,,
2010.0,Percent,Zhambyl,4.1,KAZ,,,,,
2010.0,Percent,Karagandy,29.7,KAZ,,,,,
2010.0,Percent,Pavlodar,14.3,KAZ,,,,,
2010.0,Percent,Soltustik Kazakhstan,1.6,KAZ,,,,,
2010.0,Percent,Turkistan,11.0,KAZ,,,,,
2010.0,Percent,Shygys Kazakhstan,82.2,KAZ,,,,,
2011.0,Percent,,19.6,KAZ,,,,,
2011.0,Percent,Akmola,8.4,KAZ,,,,,
2011.0,Percent,Almaty,32.6,KAZ,,,,,
2011.0,Percent,Zhambyl,4.1,KAZ,,,,,
2011.0,Percent,Karagandy,28.7,KAZ,,,,,
2011.0,Percent,Pavlodar,14.3,KAZ,,,,,
2011.0,Percent,Soltustik Kazakhstan,1.6,KAZ,,,,,
2011.0,Percent,Turkistan,11.0,KAZ,,,,,
2011.0,Percent,Shygys Kazakhstan,82.2,KAZ,,,,,
2012.0,Percent,,19.7,KAZ,,,,,
2012.0,Percent,Akmola,7.2,KAZ,,,,,
2012.0,Percent,Almaty,32.6,KAZ,,,,,
2012.0,Percent,Zhambyl,4.1,KAZ,,,,,
2012.0,Percent,Karagandy,25.2,KAZ,,,,,
2012.0,Percent,Pavlodar,14.3,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,1.6,KAZ,,,,,
2012.0,Percent,Turkistan,12.6,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,82.1,KAZ,,,,,
2013.0,Percent,,19.4,KAZ,,,,,
2013.0,Percent,Akmola,7.2,KAZ,,,,,
2013.0,Percent,Almaty,32.6,KAZ,,,,,
2013.0,Percent,Zhambyl,4.1,KAZ,,,,,
2013.0,Percent,Karagandy,25.2,KAZ,,,,,
2013.0,Percent,Pavlodar,14.3,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,1.6,KAZ,,,,,
2013.0,Percent,Turkistan,9.7,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,82.1,KAZ,,,,,
