Year,UNIT_MEASURE,Value,M49_country_code
2011,Percent,5.0,KAZ
2012,Percent,11.0,KAZ
2013,Percent,13.0,KAZ
2014,Percent,5.0,KAZ
2015,Percent,14.0,KAZ
2016,Percent,12.0,KAZ
2017,Percent,11.0,KAZ
2018,Percent,12.0,KAZ
2019,Percent,23.0,KAZ
2020,Percent,28.0,KAZ
2021,Percent,4.4,KAZ
