Year,UNIT_MEASURE,Value,M49_country_code,Reference area,GeoCode
2010,persons,1.7,KAZ,,
2011,persons,3.1,KAZ,,
2012,persons,2.7,KAZ,,
2013,persons,3.3,KAZ,,
2014,persons,3.4,KAZ,,
2015,persons,2.5,KAZ,,
2016,persons,2.0,KAZ,,
2017,persons,1.8,KAZ,,
2018,persons,1.3,KAZ,,
2019,persons,1.7,KAZ,,
2020,persons,1.0,KAZ,,
2021,persons,1.1,KAZ,,
2011,,5.0,KGZ,,
2012,,6.0,KGZ,,
2013,,9.0,KGZ,,
2014,,19.0,KGZ,,
2015,,8.0,KGZ,,
2016,,10.0,KGZ,,
2017,,5.0,KGZ,,
2018,,8.0,KGZ,,
2019,,5.0,KGZ,,
2020,,2.0,KGZ,,
2021,,2.0,KGZ,,
2012,,1.0,KGZ,Batken,KG05
2013,,2.0,KGZ,Batken,KG05
2014,,1.0,KGZ,Batken,KG05
2013,,1.0,KGZ,Jalal-Abad,KG03
2014,,1.0,KGZ,Jalal-Abad,KG03
2015,,1.0,KGZ,Jalal-Abad,KG03
2021,,1.0,KGZ,Jalal-Abad,KG03
2013,,1.0,KGZ,Issyk-Kul,KG02
2014,,1.0,KGZ,Issyk-Kul,KG02
2015,,1.0,KGZ,Naryn,KG04
2019,,1.0,KGZ,Naryn,KG04
2013,,1.0,KGZ,Osh,KG06
2014,,6.0,KGZ,Osh,KG06
2017,,2.0,KGZ,Osh,KG06
2018,,1.0,KGZ,Osh,KG06
2020,,1.0,KGZ,Osh,KG06
2019,,1.0,KGZ,Talas,KG07
2012,,2.0,KGZ,Chui,KG08
2013,,3.0,KGZ,Chui,KG08
2014,,3.0,KGZ,Chui,KG08
2015,,3.0,KGZ,Chui,KG08
2016,,6.0,KGZ,Chui,KG08
2017,,3.0,KGZ,Chui,KG08
2021,,1.0,KGZ,Chui,KG08
2012,,3.0,KGZ,Bishkek (city),KG11
2014,,2.0,KGZ,Bishkek (city),KG11
2015,,1.0,KGZ,Bishkek (city),KG11
2016,,4.0,KGZ,Bishkek (city),KG11
2018,,7.0,KGZ,Bishkek (city),KG11
2019,,2.0,KGZ,Bishkek (city),KG11
2020,,1.0,KGZ,Bishkek (city),KG11
2011,,5.0,KGZ,Osh (city),KG21
2013,,1.0,KGZ,Osh (city),KG21
2014,,5.0,KGZ,Osh (city),KG21
2015,,2.0,KGZ,Osh (city),KG21
2019,,1.0,KGZ,Osh (city),KG21
