Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2013,Species: Mammals,14.3,KGZ
2014,Species: Mammals,15.4,KGZ
2015,Species: Mammals,12.1,KGZ
2016,Species: Mammals,14.3,KGZ
2017,Species: Mammals,9.9,KGZ
2018,Species: Mammals,9.9,KGZ
2019,Species: Mammals,4.4,KGZ
2020,Species: Mammals,5.9,KGZ
2021,Species: Mammals,7.1,KGZ
2013,Species: Birds,2.0,KGZ
2014,Species: Birds,3.7,KGZ
2015,Species: Birds,3.7,KGZ
2016,Species: Birds,2.2,KGZ
2017,Species: Birds,2.7,KGZ
2018,Species: Birds,2.5,KGZ
2019,Species: Birds,1.72,KGZ
2020,Species: Birds,1.5,KGZ
2021,Species: Birds,0.5,KGZ
2013,Species: Amphibians and Reptiles,8.7,KGZ
2015,Species: Amphibians and Reptiles,2.2,KGZ
2016,Species: Amphibians and Reptiles,2.2,KGZ
2018,Species: Amphibians and Reptiles,2.2,KGZ
