Year,Value,M49_country_code
2007,78.2,KGZ
2008,54.3,KGZ
2009,48.7,KGZ
2010,45.5,KGZ
2011,42.0,KGZ
2012,35.3,KGZ
2013,31.4,KGZ
2014,26.1,KGZ
2015,26.7,KGZ
2016,22.0,KGZ
2017,25.3,KGZ
2018,25.5,KGZ
2019,21.6,KGZ
2020,21.8,KGZ
