Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,as a percentage to the previous year,,103.7,KAZ,,,,,
2011.0,as a percentage to the previous year,,105.0,KAZ,,,,,
2011.0,as a percentage to the previous year,Akmola,115.1,KAZ,,,,,
2011.0,as a percentage to the previous year,Aktobe,101.8,KAZ,,,,,
2011.0,as a percentage to the previous year,Almaty,102.3,KAZ,,,,,
2011.0,as a percentage to the previous year,Atyrau,97.8,KAZ,,,,,
2011.0,as a percentage to the previous year,Batys Kazakhstan,104.0,KAZ,,,,,
2011.0,as a percentage to the previous year,Zhambyl,112.4,KAZ,,,,,
2011.0,as a percentage to the previous year,Karagandy,106.5,KAZ,,,,,
2011.0,as a percentage to the previous year,Kostanay,116.0,KAZ,,,,,
2011.0,as a percentage to the previous year,Kyzylorda,99.0,KAZ,,,,,
2011.0,as a percentage to the previous year,Mangistau,89.3,KAZ,,,,,
2011.0,as a percentage to the previous year,Ontustik Kazakhstan,102.0,KAZ,,,,,
2011.0,as a percentage to the previous year,Pavlodar,110.4,KAZ,,,,,
2011.0,as a percentage to the previous year,Soltustik Kazakhstan,120.9,KAZ,,,,,
2011.0,as a percentage to the previous year,Shygys Kazakhstan,108.8,KAZ,,,,,
2011.0,as a percentage to the previous year,Nur-Sultan city,106.4,KAZ,,,,,
2011.0,as a percentage to the previous year,Almaty city,106.0,KAZ,,,,,
2012.0,as a percentage to the previous year,,102.5,KAZ,,,,,
2012.0,as a percentage to the previous year,Akmola,94.6,KAZ,,,,,
2012.0,as a percentage to the previous year,Aktobe,104.7,KAZ,,,,,
2012.0,as a percentage to the previous year,Almaty,100.0,KAZ,,,,,
2012.0,as a percentage to the previous year,Atyrau,94.7,KAZ,,,,,
2012.0,as a percentage to the previous year,Batys Kazakhstan,105.1,KAZ,,,,,
2012.0,as a percentage to the previous year,Zhambyl,110.0,KAZ,,,,,
2012.0,as a percentage to the previous year,Karagandy,100.9,KAZ,,,,,
2012.0,as a percentage to the previous year,Kostanay,93.5,KAZ,,,,,
2012.0,as a percentage to the previous year,Kyzylorda,100.9,KAZ,,,,,
2012.0,as a percentage to the previous year,Mangistau,90.0,KAZ,,,,,
2012.0,as a percentage to the previous year,Ontustik Kazakhstan,100.5,KAZ,,,,,
2012.0,as a percentage to the previous year,Pavlodar,108.9,KAZ,,,,,
2012.0,as a percentage to the previous year,Soltustik Kazakhstan,98.5,KAZ,,,,,
2012.0,as a percentage to the previous year,Shygys Kazakhstan,114.6,KAZ,,,,,
2012.0,as a percentage to the previous year,Nur-Sultan city,111.0,KAZ,,,,,
2012.0,as a percentage to the previous year,Almaty city,105.6,KAZ,,,,,
2013.0,as a percentage to the previous year,,105.1,KAZ,,,,,
2013.0,as a percentage to the previous year,Akmola,104.1,KAZ,,,,,
2013.0,as a percentage to the previous year,Aktobe,103.7,KAZ,,,,,
2013.0,as a percentage to the previous year,Almaty,108.1,KAZ,,,,,
2013.0,as a percentage to the previous year,Atyrau,102.1,KAZ,,,,,
2013.0,as a percentage to the previous year,Batys Kazakhstan,102.3,KAZ,,,,,
2013.0,as a percentage to the previous year,Zhambyl,104.6,KAZ,,,,,
2013.0,as a percentage to the previous year,Karagandy,106.7,KAZ,,,,,
2013.0,as a percentage to the previous year,Kostanay,111.9,KAZ,,,,,
2013.0,as a percentage to the previous year,Kyzylorda,101.9,KAZ,,,,,
2013.0,as a percentage to the previous year,Mangistau,103.7,KAZ,,,,,
2013.0,as a percentage to the previous year,Ontustik Kazakhstan,101.6,KAZ,,,,,
2013.0,as a percentage to the previous year,Pavlodar,99.4,KAZ,,,,,
2013.0,as a percentage to the previous year,Soltustik Kazakhstan,108.1,KAZ,,,,,
2013.0,as a percentage to the previous year,Shygys Kazakhstan,107.5,KAZ,,,,,
2013.0,as a percentage to the previous year,Nur-Sultan city,106.2,KAZ,,,,,
2013.0,as a percentage to the previous year,Almaty city,113.3,KAZ,,,,,
2014.0,as a percentage to the previous year,,104.6,KAZ,,,,,
2014.0,as a percentage to the previous year,Akmola,103.7,KAZ,,,,,
2014.0,as a percentage to the previous year,Aktobe,104.8,KAZ,,,,,
2014.0,as a percentage to the previous year,Almaty,102.9,KAZ,,,,,
2014.0,as a percentage to the previous year,Atyrau,99.3,KAZ,,,,,
2014.0,as a percentage to the previous year,Batys Kazakhstan,104.8,KAZ,,,,,
2014.0,as a percentage to the previous year,Zhambyl,104.0,KAZ,,,,,
2014.0,as a percentage to the previous year,Karagandy,107.3,KAZ,,,,,
2014.0,as a percentage to the previous year,Kostanay,103.9,KAZ,,,,,
2014.0,as a percentage to the previous year,Kyzylorda,104.5,KAZ,,,,,
2014.0,as a percentage to the previous year,Mangistau,107.8,KAZ,,,,,
2014.0,as a percentage to the previous year,Ontustik Kazakhstan,104.0,KAZ,,,,,
2014.0,as a percentage to the previous year,Pavlodar,99.9,KAZ,,,,,
2014.0,as a percentage to the previous year,Soltustik Kazakhstan,110.9,KAZ,,,,,
2014.0,as a percentage to the previous year,Shygys Kazakhstan,102.9,KAZ,,,,,
2014.0,as a percentage to the previous year,Nur-Sultan city,104.1,KAZ,,,,,
2014.0,as a percentage to the previous year,Almaty city,104.0,KAZ,,,,,
2015.0,as a percentage to the previous year,,100.6,KAZ,,,,,
2015.0,as a percentage to the previous year,Akmola,102.3,KAZ,,,,,
2015.0,as a percentage to the previous year,Aktobe,95.0,KAZ,,,,,
2015.0,as a percentage to the previous year,Almaty,108.0,KAZ,,,,,
2015.0,as a percentage to the previous year,Atyrau,100.9,KAZ,,,,,
