Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,0.5,KAZ
2011,Percent,0.25,KAZ
2012,Percent,0.37,KAZ
2013,Percent,0.53,KAZ
2014,Percent,0.6,KAZ
2015,Percent,0.93,KAZ
2016,Percent,2.07,KAZ
2017,Percent,1.97,KAZ
2018,Percent,1.69,KAZ
2019,Percent,3.1,KAZ
2020,Percent,3.18,KAZ
2021,Percent,1.49,KAZ
2007,,4.0,KGZ
2008,,4.6,KGZ
2009,,6.9,KGZ
2010,,6.8,KGZ
2011,,6.2,KGZ
2012,,6.7,KGZ
2013,,7.2,KGZ
2014,,6.8,KGZ
2015,,7.6,KGZ
2016,,12.2,KGZ
2017,,11.3,KGZ
2018,,13.0,KGZ
2019,,12.9,KGZ
2020,,15.2,KGZ
2021,,10.4,KGZ
