Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,87.1,KAZ
2011,Percent,71.4,KAZ
2012,Percent,54.9,KAZ
2013,Percent,56.4,KAZ
2014,Percent,54.2,KAZ
2015,Percent,77.0,KAZ
2016,Percent,73.2,KAZ
2017,Percent,73.1,KAZ
2018,Percent,59.3,KAZ
2019,Percent,64.0,KAZ
2020,Percent,56.24,KAZ
