unique_id,col_caption_name,col_caption_name1_empty,year,value
01_101_,Total,True,2000,1.6
01_101_,Total,True,2001,1.5
01_101_,Total,True,2002,2
01_101_,Total,True,2003,2.7
01_101_,Total,True,2004,2.7
01_101_,Total,True,2005,2.6
01_101_,Total,True,2006,1.6
01_101_,Total,True,2007,2.4
01_101_,Total,True,2008,2
01_101_,Total,True,2009,3.1
01_101_,Total,True,2010,5.4
01_101_,Total,True,2011,4.7
01_101_,Total,True,2012,4
01_101_,Total,True,2013,4.3
01_101_,Total,True,2014,4.5
01_101_,Total,True,2015,5
01_101_,Total,True,2016,5.3
01_101_,Total,True,2017,7.6
01_101_,Total,True,2018,12.4
01_101_,Total,True,2019,10.8
01_101_,Total,True,2020,5.1
01_101_,Total,True,2021,7.9
10_104_,Republic of Karakalpakstan,True,2000,1.3
10_104_,Republic of Karakalpakstan,True,2001,0.5
10_104_,Republic of Karakalpakstan,True,2002,1.4
10_104_,Republic of Karakalpakstan,True,2003,0.5
10_104_,Republic of Karakalpakstan,True,2004,0.4
10_104_,Republic of Karakalpakstan,True,2005,0.6
10_104_,Republic of Karakalpakstan,True,2006,0.8
10_104_,Republic of Karakalpakstan,True,2007,0.4
10_104_,Republic of Karakalpakstan,True,2008,0.3
10_104_,Republic of Karakalpakstan,True,2009,0.7
10_104_,Republic of Karakalpakstan,True,2010,2.6
10_104_,Republic of Karakalpakstan,True,2011,2
10_104_,Republic of Karakalpakstan,True,2012,1.9
10_104_,Republic of Karakalpakstan,True,2013,2
10_104_,Republic of Karakalpakstan,True,2014,3.5
10_104_,Republic of Karakalpakstan,True,2015,2
10_104_,Republic of Karakalpakstan,True,2016,1.4
10_104_,Republic of Karakalpakstan,True,2017,1.5
10_104_,Republic of Karakalpakstan,True,2018,30.8
10_104_,Republic of Karakalpakstan,True,2019,1.9
10_104_,Republic of Karakalpakstan,True,2020,7.3
10_104_,Republic of Karakalpakstan,True,2021,5.1
10_105_,Andizhan Region,True,2000,0.1
10_105_,Andizhan Region,True,2001,1.2
10_105_,Andizhan Region,True,2002,0.1
10_105_,Andizhan Region,True,2003,0.3
10_105_,Andizhan Region,True,2004,0.5
10_105_,Andizhan Region,True,2005,1.6
10_105_,Andizhan Region,True,2006,2.1
10_105_,Andizhan Region,True,2007,4.6
10_105_,Andizhan Region,True,2008,6.2
10_105_,Andizhan Region,True,2009,4.1
10_105_,Andizhan Region,True,2010,1.3
10_105_,Andizhan Region,True,2011,2.4
10_105_,Andizhan Region,True,2012,3.3
10_105_,Andizhan Region,True,2013,2.2
10_105_,Andizhan Region,True,2014,2
10_105_,Andizhan Region,True,2015,1.6
10_105_,Andizhan Region,True,2016,3.1
10_105_,Andizhan Region,True,2017,1.9
10_105_,Andizhan Region,True,2018,2
10_105_,Andizhan Region,True,2019,1.7
10_105_,Andizhan Region,True,2020,2.4
10_105_,Andizhan Region,True,2021,3.9
10_106_,Bukhara Region,True,2000,0.5
10_106_,Bukhara Region,True,2001,0.5
10_106_,Bukhara Region,True,2002,0.6
10_106_,Bukhara Region,True,2003,0.3
10_106_,Bukhara Region,True,2004,0.2
10_106_,Bukhara Region,True,2005,0.6
10_106_,Bukhara Region,True,2006,0.5
10_106_,Bukhara Region,True,2007,0.4
10_106_,Bukhara Region,True,2008,0.2
10_106_,Bukhara Region,True,2009,0.1
10_106_,Bukhara Region,True,2010,0.2
10_106_,Bukhara Region,True,2011,0.7
10_106_,Bukhara Region,True,2012,0.8
10_106_,Bukhara Region,True,2013,0.8
10_106_,Bukhara Region,True,2014,0.7
10_106_,Bukhara Region,True,2015,0.5
10_106_,Bukhara Region,True,2016,0.6
10_106_,Bukhara Region,True,2017,0.6
10_106_,Bukhara Region,True,2018,1.1
