unique_id,col_caption_name,col_caption_name1_empty,year,value
16_101_,Total,True,2000,0
16_101_,Total,True,2001,0
16_101_,Total,True,2002,0
16_101_,Total,True,2003,0
16_101_,Total,True,2004,0
16_101_,Total,True,2005,0
16_101_,Total,True,2006,0
16_101_,Total,True,2007,0
16_101_,Total,True,2008,0
16_101_,Total,True,2009,0
16_101_,Total,True,2010,0
16_101_,Total,True,2011,0
16_101_,Total,True,2012,0
16_101_,Total,True,2013,0
16_101_,Total,True,2014,0
16_101_,Total,True,2015,0
16_101_,Total,True,2016,0
16_101_,Total,True,2017,63.5
16_101_,Total,True,2018,68.1
16_101_,Total,True,2019,69.8
16_101_,Total,True,2020,71.7
16_101_,Total,True,2021,72.4
16_135_,Men,True,2000,0
16_135_,Men,True,2001,0
16_135_,Men,True,2002,0
16_135_,Men,True,2003,0
16_135_,Men,True,2004,0
16_135_,Men,True,2005,0
16_135_,Men,True,2006,0
16_135_,Men,True,2007,0
16_135_,Men,True,2008,0
16_135_,Men,True,2009,0
16_135_,Men,True,2010,0
16_135_,Men,True,2011,0
16_135_,Men,True,2012,0
16_135_,Men,True,2013,0
16_135_,Men,True,2014,0
16_135_,Men,True,2015,0
16_135_,Men,True,2016,0
16_135_,Men,True,2017,73.3
16_135_,Men,True,2018,77.4
16_135_,Men,True,2019,77.5
16_135_,Men,True,2020,77.9
16_135_,Men,True,2021,81.1
16_136_,Women,True,2000,0
16_136_,Women,True,2001,0
16_136_,Women,True,2002,0
16_136_,Women,True,2003,0
16_136_,Women,True,2004,0
16_136_,Women,True,2005,0
16_136_,Women,True,2006,0
16_136_,Women,True,2007,0
16_136_,Women,True,2008,0
16_136_,Women,True,2009,0
16_136_,Women,True,2010,0
16_136_,Women,True,2011,0
16_136_,Women,True,2012,0
16_136_,Women,True,2013,0
16_136_,Women,True,2014,0
16_136_,Women,True,2015,0
16_136_,Women,True,2016,0
16_136_,Women,True,2017,53.8
16_136_,Women,True,2018,59.6
16_136_,Women,True,2019,62.8
16_136_,Women,True,2020,65.5
16_136_,Women,True,2021,63.6
