unique_id,col_caption_name,col_caption_name1_empty,year,value
01_101_,Total,True,2000,1
01_101_,Total,True,2001,0.7
01_101_,Total,True,2002,0.7
01_101_,Total,True,2003,0.7
01_101_,Total,True,2004,0.6
01_101_,Total,True,2005,0.4
01_101_,Total,True,2006,0.4
01_101_,Total,True,2007,0.6
01_101_,Total,True,2008,0.5
01_101_,Total,True,2009,0.8
01_101_,Total,True,2010,2.1
01_101_,Total,True,2011,2.3
01_101_,Total,True,2012,4.2
01_101_,Total,True,2013,7.8
01_101_,Total,True,2014,7.8
01_101_,Total,True,2015,9.5
01_101_,Total,True,2016,10.4
01_101_,Total,True,2017,4.4
01_101_,Total,True,2018,7.4
01_101_,Total,True,2019,7.5
01_101_,Total,True,2020,1.7
01_101_,Total,True,2021,2.5
