unique_id,col_caption_name,col_caption_name1_empty,year,value
16_173_,pre-school institutions,True,2000,0
16_173_,pre-school institutions,True,2001,0
16_173_,pre-school institutions,True,2002,0
16_173_,pre-school institutions,True,2003,0
16_173_,pre-school institutions,True,2004,0
16_173_,pre-school institutions,True,2005,0
16_173_,pre-school institutions,True,2006,0
16_173_,pre-school institutions,True,2007,0
16_173_,pre-school institutions,True,2008,95.3
16_173_,pre-school institutions,True,2009,95.2
16_173_,pre-school institutions,True,2010,94.7
16_173_,pre-school institutions,True,2011,95
16_173_,pre-school institutions,True,2012,98.5
16_173_,pre-school institutions,True,2013,96.3
16_173_,pre-school institutions,True,2014,95.9
16_173_,pre-school institutions,True,2015,97
16_173_,pre-school institutions,True,2016,98
16_173_,pre-school institutions,True,2017,98.4
16_173_,pre-school institutions,True,2018,95.6
16_173_,pre-school institutions,True,2019,95.8
16_173_,pre-school institutions,True,2020,98.3
16_173_,pre-school institutions,True,2021,98.8
16_174_,educational institutions with teacher education,True,2000,0
16_174_,educational institutions with teacher education,True,2001,0
16_174_,educational institutions with teacher education,True,2002,0
16_174_,educational institutions with teacher education,True,2003,0
16_174_,educational institutions with teacher education,True,2004,0
16_174_,educational institutions with teacher education,True,2005,0
16_174_,educational institutions with teacher education,True,2006,0
16_174_,educational institutions with teacher education,True,2007,0
16_174_,educational institutions with teacher education,True,2008,0
16_174_,educational institutions with teacher education,True,2009,0
16_174_,educational institutions with teacher education,True,2010,90.2
16_174_,educational institutions with teacher education,True,2011,94.2
16_174_,educational institutions with teacher education,True,2012,95.2
16_174_,educational institutions with teacher education,True,2013,93.5
16_174_,educational institutions with teacher education,True,2014,96.6
16_174_,educational institutions with teacher education,True,2015,97.4
16_174_,educational institutions with teacher education,True,2016,98.8
16_174_,educational institutions with teacher education,True,2017,99
16_174_,educational institutions with teacher education,True,2018,99.4
16_174_,educational institutions with teacher education,True,2019,99.3
16_174_,educational institutions with teacher education,True,2020,99.1
16_174_,educational institutions with teacher education,True,2021,99
