unique_id,col_caption_name,col_caption_name1_empty,year,value
16_166_,electricity,True,2000,0
16_166_,electricity,True,2001,0
16_166_,electricity,True,2002,0
16_166_,electricity,True,2003,0
16_166_,electricity,True,2004,0
16_166_,electricity,True,2005,0
16_166_,electricity,True,2006,0
16_166_,electricity,True,2007,0
16_166_,electricity,True,2008,0
16_166_,electricity,True,2009,0
16_166_,electricity,True,2010,0
16_166_,electricity,True,2011,0
16_166_,electricity,True,2012,0
16_166_,electricity,True,2013,0
16_166_,electricity,True,2014,0
16_166_,electricity,True,2015,0
16_166_,electricity,True,2016,0
16_166_,electricity,True,2017,99
16_166_,electricity,True,2018,99.2
16_166_,electricity,True,2019,99.9
16_166_,electricity,True,2020,99.7
16_166_,electricity,True,2021,99.8
16_167_,Internet access for educational purposes,True,2000,0
16_167_,Internet access for educational purposes,True,2001,0
16_167_,Internet access for educational purposes,True,2002,0
16_167_,Internet access for educational purposes,True,2003,0
16_167_,Internet access for educational purposes,True,2004,0
16_167_,Internet access for educational purposes,True,2005,0
16_167_,Internet access for educational purposes,True,2006,0
16_167_,Internet access for educational purposes,True,2007,0
16_167_,Internet access for educational purposes,True,2008,0
16_167_,Internet access for educational purposes,True,2009,0
16_167_,Internet access for educational purposes,True,2010,0
16_167_,Internet access for educational purposes,True,2011,0
16_167_,Internet access for educational purposes,True,2012,0
16_167_,Internet access for educational purposes,True,2013,0
16_167_,Internet access for educational purposes,True,2014,0
16_167_,Internet access for educational purposes,True,2015,0
16_167_,Internet access for educational purposes,True,2016,0
16_167_,Internet access for educational purposes,True,2017,87.9
16_167_,Internet access for educational purposes,True,2018,86.3
16_167_,Internet access for educational purposes,True,2019,83.2
16_167_,Internet access for educational purposes,True,2020,78.7
16_167_,Internet access for educational purposes,True,2021,92.5
16_168_,computers for educational purposes,True,2000,0
16_168_,computers for educational purposes,True,2001,0
16_168_,computers for educational purposes,True,2002,0
16_168_,computers for educational purposes,True,2003,0
16_168_,computers for educational purposes,True,2004,0
16_168_,computers for educational purposes,True,2005,0
16_168_,computers for educational purposes,True,2006,0
16_168_,computers for educational purposes,True,2007,0
16_168_,computers for educational purposes,True,2008,0
16_168_,computers for educational purposes,True,2009,0
16_168_,computers for educational purposes,True,2010,0
16_168_,computers for educational purposes,True,2011,0
