unique_id,col_caption_name,col_caption_name1_empty,year,value
01_101_,Total,True,2000,0
01_101_,Total,True,2001,0
01_101_,Total,True,2002,0
01_101_,Total,True,2003,60.6
01_101_,Total,True,2004,64.2
01_101_,Total,True,2005,61.1
01_101_,Total,True,2006,59.8
01_101_,Total,True,2007,59.9
01_101_,Total,True,2008,56.3
01_101_,Total,True,2009,55.2
01_101_,Total,True,2010,52.2
01_101_,Total,True,2011,56.6
01_101_,Total,True,2012,57.4
01_101_,Total,True,2013,57.6
01_101_,Total,True,2014,47.7
01_101_,Total,True,2015,49.5
01_101_,Total,True,2016,52.9
01_101_,Total,True,2017,52.3
01_101_,Total,True,2018,51
01_101_,Total,True,2019,48.1
01_101_,Total,True,2020,49.6
01_101_,Total,True,2021,46.9
