Year,UNIT_MEASURE,Regions,Value,M49_country_code
2016,Percent,,12.6,KAZ
2017,Percent,,43.0,KAZ
2018,Percent,,72.7,KAZ
2019,Percent,,96.0,KAZ
2020,Percent,,100.0,KAZ
